year_ended,section,line,amount_gbp
2022,Income,Village hall hire,4942
2022,Income,Miscellaneous,907
2022,Income,Search fees,2180
2022,Income,Interest income,0
2022,Income,Income from the General Refuse Fund,94195
2022,Income,Income from the General Rate Fund,117382
2022,Expenditure,Northern Parishes Refuse Collection Board,97331
2022,Expenditure,Northern Civic Amenity Site,32120
2022,Expenditure,Depreciation,15153
2022,Expenditure,Clerk's salary,16141
2022,Expenditure,Public hall & community centre,8900
2022,Expenditure,Local highway services,13062
2022,Expenditure,Public conveniences,5581
2022,Expenditure,Street lighting,6702
2022,Expenditure,Amenity areas,12083
2022,Expenditure,Northern Local Swimming Pool Board,2402
2022,Expenditure,Litter collection / dog warden,3302
2022,Expenditure,Rate collection charges,2728
2022,Expenditure,Insurance,2872
2022,Expenditure,Accountancy fees,2400
2022,Expenditure,Assurance fee,1800
2022,Expenditure,Playground/park,2638
2022,Expenditure,Sports field and amenity area,5142
2022,Expenditure,Travel expenses,56
2022,Expenditure,Civic service,150
2022,Expenditure,Office expenses,2706
2022,Expenditure,Miscellaneous expenses,652
2022,Expenditure,Millennium clock and gardens,244
2022,Expenditure,Garden competition expenses,320
2022,Expenditure,Christmas trees and decorations,0
2022,Expenditure,Bank charges,270
2022,Expenditure,War memorial,25
2022,Expenditure,Election expenses,0
2022,Expenditure,Legal and professional fees,0
2022,Expenditure,Bad debts (credit where negative),-913
2022,Summary,Total small income (village hall/misc/search),8029
2022,Summary,Total expenditure (net of bad debt credit),233867
2022,Summary,Net cost of services,-225838
2022,Summary,Deficit for the year,-14261
2022,Summary,Rate in the pound - general rate (pence),118
2022,Summary,Rate in the pound - refuse rate (pence),67
2022,Summary,Net rateable value - general rate (GBP),103065
2022,Summary,Net rateable value - refuse rate (GBP),97106
2023,Income,Village hall hire,5518
2023,Income,Miscellaneous,1179
2023,Income,Search fees,1560
2023,Income,Interest income,0
2023,Income,Income from the General Refuse Fund,94157
2023,Income,Income from the General Rate Fund,128038
2023,Expenditure,Northern Parishes Refuse Collection Board,97500
2023,Expenditure,Northern Civic Amenity Site,30308
2023,Expenditure,Depreciation,14927
2023,Expenditure,Clerk's salary,17258
2023,Expenditure,Public hall & community centre,10536
2023,Expenditure,Local highway services,16246
2023,Expenditure,Public conveniences,5504
2023,Expenditure,Street lighting,12834
2023,Expenditure,Amenity areas,10123
2023,Expenditure,Northern Local Swimming Pool Board,3205
2023,Expenditure,Litter collection / dog warden,2889
2023,Expenditure,Rate collection charges,3435
2023,Expenditure,Insurance,3165
2023,Expenditure,Accountancy fees,2000
2023,Expenditure,Assurance fee,2100
2023,Expenditure,Playground/park,2793
2023,Expenditure,Sports field and amenity area,66
2023,Expenditure,Travel expenses,30
2023,Expenditure,Civic service,325
2023,Expenditure,Office expenses,1265
2023,Expenditure,Miscellaneous expenses,1195
2023,Expenditure,Millennium clock and gardens,129
2023,Expenditure,Garden competition expenses,0
2023,Expenditure,Christmas trees and decorations,518
2023,Expenditure,Bank charges,248
2023,Expenditure,War memorial,25
2023,Expenditure,Election expenses,0
2023,Expenditure,Legal and professional fees,0
2023,Expenditure,Bad debts (credit where negative),-102
2023,Summary,Total small income (village hall/misc/search),8257
2023,Summary,Total expenditure (net of bad debt credit),238522
2023,Summary,Net cost of services,-230265
2023,Summary,Deficit for the year,-8070
2023,Summary,Rate in the pound - general rate (pence),126
2023,Summary,Rate in the pound - refuse rate (pence),67
2023,Summary,Net rateable value - general rate (GBP),105245
2023,Summary,Net rateable value - refuse rate (GBP),97106
2024,Income,Village hall hire,5494
2024,Income,Miscellaneous,102
2024,Income,Search fees,1570
2024,Income,Interest income,402
2024,Income,Income from the General Refuse Fund,96079
2024,Income,Income from the General Rate Fund,136131
2024,Expenditure,Northern Parishes Refuse Collection Board,100987
2024,Expenditure,Northern Civic Amenity Site,33324
2024,Expenditure,Depreciation,14477
2024,Expenditure,Clerk's salary,19305
2024,Expenditure,Public hall & community centre,9720
2024,Expenditure,Local highway services,19403
2024,Expenditure,Public conveniences,5681
2024,Expenditure,Street lighting,15208
2024,Expenditure,Amenity areas,9796
2024,Expenditure,Northern Local Swimming Pool Board,3173
2024,Expenditure,Litter collection / dog warden,3132
2024,Expenditure,Rate collection charges,3536
2024,Expenditure,Insurance,3469
2024,Expenditure,Accountancy fees,1925
2024,Expenditure,Assurance fee,2205
2024,Expenditure,Playground/park,2415
2024,Expenditure,Sports field and amenity area,375
2024,Expenditure,Travel expenses,14
2024,Expenditure,Civic service,0
2024,Expenditure,Office expenses,1951
2024,Expenditure,Miscellaneous expenses,1007
2024,Expenditure,Millennium clock and gardens,398
2024,Expenditure,Garden competition expenses,0
2024,Expenditure,Christmas trees and decorations,615
2024,Expenditure,Bank charges,211
2024,Expenditure,War memorial,25
2024,Expenditure,Election expenses,959
2024,Expenditure,Legal and professional fees,500
2024,Expenditure,Bad debts (credit where negative),-501
2024,Summary,Total small income (village hall/misc/search),7166
2024,Summary,Total expenditure (net of bad debt credit),253310
2024,Summary,Net cost of services,-246144
2024,Summary,Deficit for the year,-13532
2024,Summary,Rate in the pound - general rate (pence),134
2024,Summary,Rate in the pound - refuse rate (pence),69
2024,Summary,Net rateable value - general rate (GBP),105773
2024,Summary,Net rateable value - refuse rate (GBP),97540
