section,line,fy2024_gbp,fy2023_gbp
Fixed assets,Tangible fixed assets,925423,942259
Current assets,Debtors,43845,39382
Current assets,Cash at bank,177973,233240
Current assets,Subtotal,221818,272622
Current liabilities,Short-term borrowing,-8252,-8037
Current liabilities,Creditors,-43113,-145601
Current liabilities,Subtotal,-51365,-153638
Net,Net current assets,170453,118984
Net,Total before long-term liabilities,1095876,1061243
Long-term,Long-term borrowing,-20198,-28450
Net,Total assets less liabilities,1075678,1032793
Reserves,Capital adjustment account,365813,366321
Reserves,Sinking fund,0,0
Reserves,General reserve,100036,76669
Reserves,Revaluation reserve,556287,564578
Reserves,Ballakilley Recreation Project,14136,4136
Reserves,Housing maintenance reserve,6386,4107
Reserves,Housing revenue account,33020,16982
Reserves,Total reserves,1075678,1032793
