section,line,fy2025_gbp,fy2024_gbp
Fixed assets,Tangible fixed assets,32744126,24767836
Fixed assets,Assets under construction,58444,7686325
Fixed assets,Subtotal,32802570,32454161
Current assets,Stock,5989,5532
Current assets,Debtors,349766,318871
Current assets,Cash at bank,732700,911372
Current assets,Assets held for sale,0,445000
Current assets,Net pension assets,0,149000
Current assets,Subtotal,1088455,1829775
Current liabilities,Short-term borrowing,758542,606700
Current liabilities,Lease purchase liability,4398,4398
Current liabilities,Creditors,681228,1160500
Current liabilities,Subtotal,1444168,1771598
Net,Net current (liabilities)/assets,-355713,58177
Net,Total assets less current liabilities,32446857,32512338
Long-term liabilities,Long-term borrowing,17327582,17717863
Long-term liabilities,Lease purchase liability,12471,16869
Long-term liabilities,Subtotal,17340053,17734732
Net,Total assets less liabilities,15106804,14777606
Reserves,General fund,1050006,469912
Reserves,Capital adjustment account,1460759,1246254
Reserves,Revaluation reserve,12291735,12621581
Reserves,Housing revenue reserve,99636,73714
Reserves,Pension reserve,0,149000
Reserves,DOI maintenance reserve,19477,31954
Reserves,Cronkbourne reserve,185191,185191
Reserves,Total reserves,15106804,14777606
