year,section,line,amount_gbp,pence_on_rate
2022-23,Income,Rate income,1279971,2.3000
2022-23,Deduction,Discounts on rates,21600,0.0388
2022-23,Finance & General Purposes,Salaries, administration & establishment,341187,0.6131
2022-23,Finance & General Purposes,Vehicles, plant & equipment,2258,0.0041
2022-23,Finance & General Purposes,Accountancy & insurance,33700,0.0606
2022-23,Finance & General Purposes,IT costs,32744,0.0588
2022-23,Finance & General Purposes,Legal & professional,12500,0.0225
2022-23,Finance & General Purposes,Capital costs,133571,0.2400
2022-23,Finance & General Purposes,Miscellaneous,500,0.0009
2022-23,Finance & General Purposes,DOI housing,15725,0.0283
2022-23,Finance & General Purposes,Capital costs new,292451,0.5255
2022-23,Works and Development,Street lighting,54099,0.0972
2022-23,Works and Development,Transferred services,46200,0.0830
2022-23,Parks and Leisure,Environment,68034,0.1223
2022-23,Refuse Services,Waste management,113578,0.2041
2022-23,Refuse Services,Litter,16000,0.0288
2022-23,Refuse Services,Civic amenity site,86590,0.1556
2022-23,Property,Halls & community facilities (net cost),187,0.0003
2022-23,Balance,Projected year-end credit balance,9047,0.0163
2023-24,Income,Rate income,1443032,2.5700
2023-24,Income,Halls & community facilities,229518,0.4088
2023-24,Deduction,Discounts on rates,32468,0.0578
2023-24,Finance & General Purposes,Salaries, administration & establishment,575902,1.0257
2023-24,Finance & General Purposes,Vehicles, plant & equipment,16192,0.0288
2023-24,Finance & General Purposes,Accountancy & insurance,37240,0.0663
2023-24,Finance & General Purposes,IT costs,41166,0.0733
2023-24,Finance & General Purposes,Legal & professional,21500,0.0383
2023-24,Finance & General Purposes,Capital costs,55846,0.0995
2023-24,Finance & General Purposes,Miscellaneous,500,0.0009
2023-24,Finance & General Purposes,DOI housing,15725,0.0280
2023-24,Finance & General Purposes,Capital costs new,412890,0.7353
2023-24,Works and Development,Street lighting,79571,0.1417
2023-24,Works and Development,Transferred services,50820,0.0905
2023-24,Parks and Leisure,Environment,71294,0.1270
2023-24,Refuse Services,Waste management,118506,0.2111
2023-24,Refuse Services,Litter,14500,0.0258
2023-24,Refuse Services,Civic amenity site,116630,0.2077
2023-24,Balance,Projected year-end credit balance,11800,0.0210
2024-25,Income,Rate income,1991241,3.5100
2024-25,Income,Halls & community facilities,410439,0.7235
2024-25,Deduction,Discounts on rates,29869,0.0527
2024-25,Finance & General Purposes,Salaries, administration & establishment,717654,1.2650
2024-25,Finance & General Purposes,Vehicles, plant & equipment,29100,0.0513
2024-25,Finance & General Purposes,Accountancy & insurance,49927,0.0880
2024-25,Finance & General Purposes,IT costs,38396,0.0677
2024-25,Finance & General Purposes,Legal & professional,25000,0.0441
2024-25,Finance & General Purposes,Capital costs,31109,0.0548
2024-25,Finance & General Purposes,Miscellaneous,500,0.0009
2024-25,Finance & General Purposes,DOI housing,15725,0.0277
2024-25,Finance & General Purposes,Capital costs new,1035453,1.8252
2024-25,Works and Development,Street lighting,81891,0.1444
2024-25,Works and Development,Transferred services,28900,0.0509
2024-25,Parks and Leisure,Environment,7898,0.0139
2024-25,Refuse Services,Waste management,184568,0.3253
2024-25,Refuse Services,Litter,1850,0.0033
2024-25,Refuse Services,Civic amenity site,121150,0.2136
2024-25,Balance,Projected year-end credit balance,2690,0.0047
2025-26,Income,Rate income,2026696,3.5700
2025-26,Income,Halls & community facilities,372493,0.6561
2025-26,Deduction,Discounts on rates,30400,0.0535
2025-26,Finance & General Purposes,Salaries, administration & establishment,748318,1.3182
2025-26,Finance & General Purposes,Vehicles, plant & equipment,28879,0.0509
2025-26,Finance & General Purposes,Accountancy & insurance,69698,0.1228
2025-26,Finance & General Purposes,IT costs,50387,0.0888
2025-26,Finance & General Purposes,Legal & professional,24000,0.0423
2025-26,Finance & General Purposes,Capital costs,899983,1.5853
2025-26,Finance & General Purposes,Miscellaneous,500,0.0009
2025-26,Finance & General Purposes,DOI housing,15725,0.0277
2025-26,Finance & General Purposes,Capital costs new,33535,0.0591
2025-26,Works and Development,Street lighting,75702,0.1333
2025-26,Works and Development,Transferred services,39770,0.0701
2025-26,Parks and Leisure,Environment,24728,0.0436
2025-26,Refuse Services,Waste management,162178,0.2857
2025-26,Refuse Services,Litter,0,0.0000
2025-26,Refuse Services,Civic amenity site,135050,0.2379
2025-26,Balance,Projected year-end credit balance,60336,0.1063
2026-27,Income,Rate income,2089228,3.6700
2026-27,Income,Halls & community facilities,402759,0.7075
2026-27,Deduction,Discounts on rates,31338,0.0550
2026-27,Finance & General Purposes,Salaries, administration & establishment,855559,1.5029
2026-27,Finance & General Purposes,Vehicles, plant & equipment,29668,0.0521
2026-27,Finance & General Purposes,Accountancy & insurance,67276,0.1182
2026-27,Finance & General Purposes,IT costs,41850,0.0735
2026-27,Finance & General Purposes,Legal & professional,34000,0.0597
2026-27,Finance & General Purposes,Capital costs,848990,1.4914
2026-27,Finance & General Purposes,Miscellaneous,500,0.0009
2026-27,Finance & General Purposes,DOI housing,0,0.0000
2026-27,Finance & General Purposes,Capital costs new,44804,0.0787
2026-27,Works and Development,Street lighting,82237,0.1445
2026-27,Works and Development,Transferred services,60166,0.1057
2026-27,Parks and Leisure,Environment,129390,0.2273
2026-27,Refuse Services,Waste management,122258,0.2148
2026-27,Refuse Services,Litter,8700,0.0153
2026-27,Refuse Services,Civic amenity site,132110,0.2321
2026-27,Balance,Projected year-end credit balance,3141,0.0055
