year_ended,section,line,amount_gbp
2022,Income,Income from general rate fund,121996
2022,Income,Income from refuse fund,26186
2022,Income,Property search fees,960
2022,Income,Interest income,2
2022,Income,Grant income,0
2022,Expenditure,Clerk's salary,12812
2022,Expenditure,Employee pension,1127
2022,Expenditure,Civic amenity site,52652
2022,Expenditure,Northern Parish Refuse Collection Board,21683
2022,Expenditure,Waste disposal,0
2022,Expenditure,Millennium sports field,7481
2022,Expenditure,Northern Local Authority Swimming Pool Board - Contribution,3934
2022,Expenditure,Hedge cutting and gully clearing,2500
2022,Expenditure,Water rates,646
2022,Expenditure,Electricity,723
2022,Expenditure,Toilet block cleaning and maintenance,3086
2022,Expenditure,Car park expenses,1
2022,Expenditure,Rates collection charges,2033
2022,Expenditure,Election expenses,336
2022,Expenditure,Hall expenses,200
2022,Expenditure,Office expenses,1153
2022,Expenditure,Miscellaneous expenses,1453
2022,Expenditure,Website expenses,324
2022,Expenditure,Search fees,480
2022,Expenditure,Accountancy fees,3045
2022,Expenditure,Assurance report fees,1800
2022,Expenditure,Independent examiner fees,0
2022,Expenditure,Insurance,1791
2022,Expenditure,Telephone,714
2022,Expenditure,Bank charges,186
2022,Expenditure,Legal and professional fees,0
2022,Expenditure,Depreciation,8100
2022,Total,Total expenditure,128260
2022,Total,Net cost of services,-127300
2022,Total,Total comprehensive income and expenditure,20884
2023,Income,Income from general rate fund,105702
2023,Income,Income from refuse fund,26010
2023,Income,Property search fees,800
2023,Income,Interest income,271
2023,Income,Grant income,0
2023,Expenditure,Clerk's salary,13905
2023,Expenditure,Employee pension,1127
2023,Expenditure,Civic amenity site,60180
2023,Expenditure,Northern Parish Refuse Collection Board,35279
2023,Expenditure,Waste disposal,0
2023,Expenditure,Millennium sports field,8632
2023,Expenditure,Northern Local Authority Swimming Pool Board - Contribution,6424
2023,Expenditure,Hedge cutting and gully clearing,3200
2023,Expenditure,Water rates,662
2023,Expenditure,Electricity,3923
2023,Expenditure,Toilet block cleaning and maintenance,3221
2023,Expenditure,Car park expenses,1
2023,Expenditure,Rates collection charges,2220
2023,Expenditure,Election expenses,0
2023,Expenditure,Hall expenses,250
2023,Expenditure,Office expenses,421
2023,Expenditure,Miscellaneous expenses,2521
2023,Expenditure,Website expenses,117
2023,Expenditure,Search fees,320
2023,Expenditure,Accountancy fees,3200
2023,Expenditure,Assurance report fees,1800
2023,Expenditure,Independent examiner fees,0
2023,Expenditure,Insurance,1610
2023,Expenditure,Telephone,875
2023,Expenditure,Bank charges,190
2023,Expenditure,Legal and professional fees,0
2023,Expenditure,Depreciation,8100
2023,Total,Total expenditure,158178
2023,Total,Net cost of services,-157378
2023,Total,Total comprehensive income and expenditure,-25395
2024,Income,Income from general rate fund,114089
2024,Income,Income from refuse fund,26144
2024,Income,Property search fees,240
2024,Income,Interest income,563
2024,Income,Grant income,9294
2024,Expenditure,Clerk's salary,13967
2024,Expenditure,Employee pension,1127
2024,Expenditure,Civic amenity site,59504
2024,Expenditure,Northern Parish Refuse Collection Board,28407
2024,Expenditure,Waste disposal,0
2024,Expenditure,Millennium sports field,5986
2024,Expenditure,Northern Local Authority Swimming Pool Board - Contribution,8906
2024,Expenditure,Hedge cutting and gully clearing,4690
2024,Expenditure,Water rates,1158
2024,Expenditure,Electricity,1913
2024,Expenditure,Toilet block cleaning and maintenance,3444
2024,Expenditure,Car park expenses,1
2024,Expenditure,Rates collection charges,2283
2024,Expenditure,Election expenses,0
2024,Expenditure,Hall expenses,0
2024,Expenditure,Office expenses,1479
2024,Expenditure,Miscellaneous expenses,563
2024,Expenditure,Website expenses,104
2024,Expenditure,Search fees,80
2024,Expenditure,Accountancy fees,3375
2024,Expenditure,Assurance report fees,2400
2024,Expenditure,Independent examiner fees,0
2024,Expenditure,Insurance,1442
2024,Expenditure,Telephone,798
2024,Expenditure,Bank charges,173
2024,Expenditure,Legal and professional fees,5217
2024,Expenditure,Depreciation,8100
2024,Total,Total expenditure,155117
2024,Total,Net cost of services,-154877
2024,Total,Total comprehensive income and expenditure,-4787
2025,Income,Income from general rate fund,116730
2025,Income,Income from refuse fund,27922
2025,Income,Property search fees,480
2025,Income,Interest income,529
2025,Income,Grant income,0
2025,Expenditure,Clerk's salary,14784
2025,Expenditure,Employee pension,3445
2025,Expenditure,Civic amenity site,0
2025,Expenditure,Northern Parish Refuse Collection Board,30858
2025,Expenditure,Waste disposal,31172
2025,Expenditure,Millennium sports field,7966
2025,Expenditure,Northern Local Authority Swimming Pool Board - Contribution,12772
2025,Expenditure,Hedge cutting and gully clearing,4818
2025,Expenditure,Water rates,820
2025,Expenditure,Electricity,2482
2025,Expenditure,Toilet block cleaning and maintenance,4207
2025,Expenditure,Car park expenses,1
2025,Expenditure,Rates collection charges,2347
2025,Expenditure,Election expenses,182
2025,Expenditure,Hall expenses,0
2025,Expenditure,Office expenses,2375
2025,Expenditure,Miscellaneous expenses,1507
2025,Expenditure,Website expenses,112
2025,Expenditure,Search fees,240
2025,Expenditure,Accountancy fees,3650
2025,Expenditure,Assurance report fees,105
2025,Expenditure,Independent examiner fees,2205
2025,Expenditure,Insurance,2773
2025,Expenditure,Telephone,917
2025,Expenditure,Bank charges,256
2025,Expenditure,Legal and professional fees,0
2025,Expenditure,Depreciation,8715
2025,Total,Total expenditure,138709
2025,Total,Net cost of services,-138229
2025,Total,Total comprehensive income and expenditure,6952
