section,line,fy2024_gbp,fy2023_gbp,fy2022_gbp
Fixed assets,Tangible fixed assets,43101426,41628246,40184022
Current assets,Debtors,263824,454389,390287
Current assets,Cash at bank and short term investments,647355,2232959,5851118
Current assets,Subtotal,911179,2687348,6241405
Current liabilities,Hire purchase liability,-20011,-21258,-14854
Current liabilities,Short-term borrowing,-614927,-571594,-752995
Current liabilities,Creditors,-597916,-503233,-340513
Current liabilities,Subtotal,-1232854,-1096085,-1108362
Net,Net current assets/(liabilities),-321675,1591263,5133043
Net,Total assets less current liabilities,42779751,43219509,45317065
Long-term,Defined benefit pension liability,-66000,-178000,-1499000
Long-term,Deferred income,-121500,-127500,-133500
Long-term,Hire purchase liability,-21632,-35570,-34950
Long-term,Long-term borrowing,-9769278,-9095038,-9666632
Net,Total assets less liabilities (net assets),32801341,33783401,33982983
Reserves,Revaluation reserve,18265796,19541673,21327550
Reserves,General revenue reserve,357892,183011,142967
Reserves,Housing revenue reserve,547562,918254,1231206
Reserves,Housing maintenance reserve,111073,48968,13524
Reserves,Pensions reserve,-66000,-178000,-1499000
Reserves,Usable capital receipts,19295,44559,131494
Reserves,Capital adjustment account,13565723,13224936,12635242
Reserves,Total reserves,32801341,33783401,33982983
