year_ended,section,line,amount_gbp
2022,Income,General rate income,725798
2022,Income,Refuse rate income,241241
2022,Income,Miscellaneous properties (net),9255
2022,Income,Bank interest,50
2022,Sanitation,Refuse collection - wages & sundries,328509
2022,Sanitation,Maintenance of public conveniences,8444
2022,Sanitation,Sewer maintenance,2580
2022,Sanitation,Collection of trade refuse (income),-35140
2022,Highways,Plant and works depot - repair & running expenses,22310
2022,Highways,Car parks,11524
2022,Highways,Street cleaning - costs and wages,7133
2022,Highways,Car parking spaces (income),-16889
2022,Highways,Street lighting,45036
2022,Parks,Bowling green and tennis courts,1338
2022,Parks,Parks,56543
2022,Parks,Public seats,985
2022,Civic,"Public Library - wages, NHI, books & sundry",30490
2022,Civic,Public Library - subscriptions & sales (income),-500
2022,Civic,"Civic Centre - wages, NHI & sundry",38512
2022,Civic,Civic Centre - hire of rooms (income),-627
2022,Civic,Publicity and public ceremonials,60696
2022,Civic,Southern Local Authorities Swimming Pool Board contribution,6384
2022,Admin,"Salaries, office wages, NIC etc",147154
2022,Admin,Rateborne wages costs,135418
2022,Admin,Registry,79
2022,Admin,Telephone,7093
2022,Admin,Contract staff,25132
2022,Admin,Printing and stationery,2870
2022,Admin,Postage,216
2022,Admin,Computer charges,9621
2022,Admin,Election expenses,10228
2022,Admin,Sundries,1009
2022,Admin,Rates collection charges,10158
2022,Admin,Rates bad debts provision,-52
2022,Admin,Commissioners' allowances,2303
2022,Admin,Bad debts - movement in provision,10065
2022,Admin,Housing revenue administration charge (income),-63529
2022,Admin,Miscellaneous income,-48038
2022,Compliance,Audit fees,8000
2022,Compliance,Professional fees,33147
2022,Compliance,Bank charges,4651
2022,Compliance,Insurance,18418
2022,CapitalDebt,Revenue contribution to assets,85806
2022,CapitalDebt,Capital repayments,61552
2022,CapitalDebt,Loan and HP interest,21713
2022,CapitalDebt,Release of deferred income,6000
2022,Summary,Total income,976344
2022,Summary,Total expenditure,1056342
2022,Summary,Deficit for the year,-79998
2022,Summary,Rate poundage - general rate (pence),304
2022,Summary,Net rateable value,252602
2022,Summary,Refuse fixed charge per household,145
2023,Income,General rate income,752350
2023,Income,Refuse rate income,269173
2023,Income,Miscellaneous properties (net),10037
2023,Income,Bank interest,3080
2023,Sanitation,Refuse collection - wages & sundries,324781
2023,Sanitation,Maintenance of public conveniences,97
2023,Sanitation,Sewer maintenance,0
2023,Sanitation,Collection of trade refuse (income),-46150
2023,Highways,Plant and works depot - repair & running expenses,12389
2023,Highways,Car parks,1314
2023,Highways,Street cleaning - costs and wages,9785
2023,Highways,Car parking spaces (income),-16107
2023,Highways,Street lighting,39753
2023,Parks,Bowling green and tennis courts,278
2023,Parks,Parks,39231
2023,Parks,Public seats,0
2023,Civic,"Public Library - wages, NHI, books & sundry",31424
2023,Civic,Public Library - subscriptions & sales (income),-705
2023,Civic,"Civic Centre - wages, NHI & sundry",59193
2023,Civic,Civic Centre - hire of rooms (income),-140
2023,Civic,Publicity and public ceremonials,17616
2023,Civic,Southern Local Authorities Swimming Pool Board contribution,6333
2023,Admin,"Salaries, office wages, NIC etc",182463
2023,Admin,Rateborne wages costs,181438
2023,Admin,Registry,150
2023,Admin,Telephone,8839
2023,Admin,Contract staff,1080
2023,Admin,Printing and stationery,2486
2023,Admin,Postage,267
2023,Admin,Computer charges,8275
2023,Admin,Election expenses,0
2023,Admin,Sundries,684
2023,Admin,Rates collection charges,11455
2023,Admin,Rates bad debts provision,-3962
2023,Admin,Commissioners' allowances,2654
2023,Admin,Bad debts - movement in provision,-332
2023,Admin,Housing revenue administration charge (income),-70762
2023,Admin,Miscellaneous income,-17700
2023,Compliance,Audit fees,9020
2023,Compliance,Professional fees,42245
2023,Compliance,Bank charges,5238
2023,Compliance,Insurance,17855
2023,CapitalDebt,Revenue contribution to assets,27595
2023,CapitalDebt,Capital repayments,63153
2023,CapitalDebt,Loan and HP interest,37363
2023,CapitalDebt,Release of deferred income,6000
2023,Summary,Total income,1034640
2023,Summary,Total expenditure,994596
2023,Summary,Surplus for the year,40044
2023,Summary,Rate poundage - general rate (pence),312
2023,Summary,Net rateable value,256238
2023,Summary,Refuse fixed charge per household,160
2024,Income,General rate income,879103
2024,Income,Refuse rate income,352139
2024,Income,Miscellaneous properties (net),1505
2024,Income,Bank interest,4995
2024,Sanitation,Refuse collection - wages & sundries,345927
2024,Sanitation,Maintenance of public conveniences,87
2024,Sanitation,Sewer maintenance,0
2024,Sanitation,Collection of trade refuse (income),-23893
2024,Highways,Plant and works depot - repair & running expenses,8731
2024,Highways,Car parks,123
2024,Highways,Street cleaning - costs and wages,13227
2024,Highways,Car parking spaces (income),-15244
2024,Highways,Street lighting,47483
2024,Parks,Bowling green and tennis courts,223
2024,Parks,Parks,52574
2024,Parks,Public seats - repairs & maintenance,2505
2024,Parks,Public seats - memorial seats (income),-750
2024,Civic,"Public Library - wages, NHI, books & sundry",31596
2024,Civic,Public Library - subscriptions & sales (income),-680
2024,Civic,"Civic Centre - wages, NHI & sundry",44567
2024,Civic,Civic Centre - hire of rooms (income),0
2024,Civic,Publicity and public ceremonials,4004
2024,Civic,Southern Local Authorities Swimming Pool Board contribution,6490
2024,Admin,"Salaries, office wages, NIC etc",199670
2024,Admin,Rateborne wages costs,184270
2024,Admin,Registry,0
2024,Admin,Telephone,7950
2024,Admin,Contract staff,0
2024,Admin,Printing and stationery,2473
2024,Admin,Postage,518
2024,Admin,Computer charges,10975
2024,Admin,Election expenses,0
2024,Admin,Sundries,1367
2024,Admin,Rates collection charges,13531
2024,Admin,Rates bad debts provision,1414
2024,Admin,Commissioners' allowances,2792
2024,Admin,Bad debts - movement in provision,-3482
2024,Admin,Housing revenue administration charge (income),-70994
2024,Admin,Miscellaneous income,-12536
2024,Compliance,Audit fees,9240
2024,Compliance,Professional fees,35689
2024,Compliance,Bank charges,5256
2024,Compliance,Insurance,24691
2024,CapitalDebt,Revenue contribution to assets,31584
2024,CapitalDebt,Capital repayments,66387
2024,CapitalDebt,Loan and HP interest,29097
