section,group,line,2022-23,2023-24,2024-25
income,,General rate income (credited to CIES),12492000,13666000,15382000
income,,Interest receivable and other income,33000,133000,126000
income,Waste & Environmental Services,Waste Services income,1237000,1311000,1386000
income,Property Highways & Car Parks,Asset Management income,397000,445000,481000
income,Property Highways & Car Parks,Car Parks income,1043000,1139000,1182000
income,Property Highways & Car Parks,Public & Decorative Lighting income,2000,12000,11000
income,Parks Gardens & Cemeteries,"Parks, Gardens & Recreational Facilities income",439000,395000,400000
income,Parks Gardens & Cemeteries,Cemeteries & Crematorium income,622000,708000,785000
income,Corporate Support & Administration,Support Services income,101000,120000,98000
income,Corporate Support & Administration,Administration & Management income,425000,431000,433000
income,Regulatory Enforcement & Income Collection,Income Collection income (excl. rate discount),38000,61000,30000
income,Regulatory Enforcement & Income Collection,Regulatory Enforcement income,381000,387000,400000
income,Civic & Cultural Services,Library income,7000,9000,10000
income,Civic & Cultural Services,City Centre Management & Public Events income,35000,22000,36000
income,Depreciation Amortisation & Pension Cost Adjustments,Depreciation & amortisation income,8000,33000,29000
income,Depreciation Amortisation & Pension Cost Adjustments,Cost adjustment regarding pensions income,0,0,586000
income,,TOTAL GROSS SERVICE INCOME (published),4735000,5073000,5867000
income,,TOTAL GENERAL FUND INCOME (service income + rate income + interest receivable),17260000,18872000,21375000
expenditure,Waste & Environmental Services,Waste Services,4376000,4292000,4686000
expenditure,Waste & Environmental Services,GROUP TOTAL,4376000,4292000,4686000
expenditure,Property Highways & Car Parks,Asset Management,2372000,2530000,2574000
expenditure,Property Highways & Car Parks,Car Parks,34000,50000,55000
expenditure,Property Highways & Car Parks,Public & Decorative Lighting,681000,733000,846000
expenditure,Property Highways & Car Parks,GROUP TOTAL,3087000,3313000,3475000
expenditure,Parks Gardens & Cemeteries,"Parks, Gardens & Recreational Facilities",2435000,2171000,2370000
expenditure,Parks Gardens & Cemeteries,Cemeteries & Crematorium,667000,607000,586000
expenditure,Parks Gardens & Cemeteries,GROUP TOTAL,3102000,2778000,2956000
expenditure,Corporate Support & Administration,Support Services,1961000,1985000,2349000
expenditure,Corporate Support & Administration,Administration & Management,1751000,1856000,1851000
expenditure,Corporate Support & Administration,Democratic Core,349000,396000,416000
expenditure,Corporate Support & Administration,GROUP TOTAL,4061000,4237000,4616000
expenditure,Regulatory Enforcement & Income Collection,Income Collection,565000,596000,678000
expenditure,Regulatory Enforcement & Income Collection,Regulatory Enforcement,431000,463000,465000
expenditure,Regulatory Enforcement & Income Collection,GROUP TOTAL,996000,1059000,1143000
expenditure,Civic & Cultural Services,Library,368000,417000,427000
expenditure,Civic & Cultural Services,City Centre Management & Public Events,183000,147000,180000
expenditure,Civic & Cultural Services,GROUP TOTAL,551000,564000,607000
expenditure,Depreciation Amortisation & Pension Cost Adjustments,Depreciation & amortisation,1219000,1066000,1396000
expenditure,Depreciation Amortisation & Pension Cost Adjustments,Cost adjustment regarding pensions,1912000,-423000,3000
expenditure,Depreciation Amortisation & Pension Cost Adjustments,GROUP TOTAL,3131000,643000,1399000
expenditure,,Interest payable and similar charges,3533000,5046000,4969000
expenditure,,"GROSS EXPENDITURE TOTAL (published; services only, excl. interest payable)",19304000,16886000,18882000
expenditure,,TOTAL GENERAL FUND OUTFLOW (gross service expenditure + interest payable),22837000,21932000,23851000
result,,NET COST OF GENERAL FUND SERVICES (published; gross expenditure less gross income),14569000,11813000,13015000
result,,NET COST OF ALL SERVICES (published; General Fund + Housing Revenue Account combined),15209000,17973000,14984000
result,,General Fund position for the year before Housing Revenue Account (this diagram's own balancing flow; not separately published),5577000,3060000,2476000
result,,Housing Revenue Account net deficit for the year (self-funded; see HRA section below),640000,6160000,1969000
result,,NET DEFICIT ON PROVISION OF SERVICES (published headline used on this page),6217000,9220000,4445000
result,,Total Comprehensive (Income)/Expenditure (published; dominated by non-cash revaluation & pension remeasurement gains — NOT used as headline),-48231000,-64802000,-10877000
result,,...of which fixed-asset revaluation gain,-26400000,-72700000,-16100000
rates,,Rate in the pound (general rate),468,509,573
rates,,"Net rateable value (approx., flat across the three years)",2750000,2750000,2750000
rates,,"Total rates levied (rate in the pound x net rateable value, gross)",12854000,14004000,15782000
rates,,Income from the General Rate Fund credited to the CIES (differs from rates levied — see Notes),12492000,13666000,15382000
hra,,"Housing Revenue Account income (dwelling rents, service charges, deficiency grant, other)",14224000,16556000,17359000
hra,,...of which Housing Deficiency Grant from Isle of Man Government,820000,2401000,2124000
hra,,"Housing Revenue Account expenditure (repairs, supervision, rates/charges, depreciation/impairment)",14864000,22716000,19328000
hra,,...of which Peel Road Flats impairment (2023-24 only),,4679000,
hra,,Housing Revenue Account net deficit for the year,640000,6160000,1969000
hra,,Council dwellings (excl. sheltered units),2372,,2244
hra,,Sheltered housing units,138,,138
hra,,Total council housing units,2510,,2382
jointboard,,Eastern District Civic Amenity Site Joint Committee — total apportioned running costs (Douglas + Onchan + Braddan + Garff + Santon),764000,820000,909000
jointboard,,...of which Douglas's own apportioned share (~62.5%; already included within Douglas's own Waste Services cost above),479000,513000,568000
jointboard,,Note,"Apportionment approx.: Douglas ~62.5%, Onchan ~17.7%, Braddan ~12.8%, Garff ~5.4%, Santon ~1.7% (running-costs-only basis, 2024 onward). The 2023 note 12.4 figures include one-off capital-scheme costs not comparable on this basis — flagged, not blended.",,
