section,group,line,2022-23,2023-24,2024-25
income,,Rates income (general + refuse),803320,891139,1012627
income,,Dwelling rents (Cooil Roi),192167,209053,228786
income,,Housing deficiency receivable (from Isle of Man Government),136388,144194,122885
income,,Parks and leisure rents (campsite, allotments),44630,48726,58413
income,,Rents received (leased office/commercial premises),21373,25912,25499
income,,Admin allowance,8345,8762,9622
income,,Search fees,8700,7100,7850
income,,Rate write-back,3177,1764,5588
income,,Profit on sale of assets,0,5000,0
income,,Pension scheme net credit,0,8000,9000
income,,Net pension interest income,0,0,2000
income,,Miscellaneous income,0,63,1509
income,,TOTAL INCOME,1218100,1349713,1483779
expenditure,Finance general purposes & property,Salaries,104747,113705,100046
expenditure,Finance general purposes & property,Pensions costs,29914,34462,33144
expenditure,Finance general purposes & property,"Telephone, printing and stationery",2268,2956,2636
expenditure,Finance general purposes & property,Advertising and public notices,175,412,804
expenditure,Finance general purposes & property,Rent and rates,2402,2087,14444
expenditure,Finance general purposes & property,Board members' expenses,2005,774,1712
expenditure,Finance general purposes & property,Heat and light,5781,4393,5974
expenditure,Finance general purposes & property,Insurance,12161,13728,14347
expenditure,Finance general purposes & property,Accountancy,8793,9979,12050
expenditure,Finance general purposes & property,Internal audit review,2790,2990,3435
expenditure,Finance general purposes & property,Audit fees,11481,11680,16101
expenditure,Finance general purposes & property,Legal and professional fees,16306,12379,4070
expenditure,Finance general purposes & property,Election expenses,0,0,247
expenditure,Finance general purposes & property,Entertaining and events,13221,9525,9186
expenditure,Finance general purposes & property,Subscriptions,350,350,300
expenditure,Finance general purposes & property,Rate collection costs,9252,10067,13793
expenditure,Finance general purposes & property,Provision against rate arrears,1848,3492,3249
expenditure,Finance general purposes & property,Bank charges,752,2100,2247
expenditure,Finance general purposes & property,IT costs,9580,13050,12847
expenditure,Finance general purposes & property,Property maintenance,13431,8092,8303
expenditure,Finance general purposes & property,GROUP TOTAL,247257,256221,258935
expenditure,Works and development,Street lighting,29705,31440,36334
expenditure,Works and development,GROUP TOTAL,29705,31440,36334
expenditure,Parks and leisure,Wages,72376,79012,82098
expenditure,Parks and leisure,Heritage costs,5855,6492,7368
expenditure,Parks and leisure,Equipment and vehicle maintenance,9469,7956,4965
expenditure,Parks and leisure,Amenities contractors,58105,67284,69194
expenditure,Parks and leisure,Public conveniences contractors,12785,11780,13158
expenditure,Parks and leisure,Public conveniences costs,2499,4698,1912
expenditure,Parks and leisure,"Parks, plants and maintenance",19919,11074,23524
expenditure,Parks and leisure,"Dog bylaw officer, signage and bins",1122,323,451
expenditure,Parks and leisure,Campsite costs,31384,44902,42814
expenditure,Parks and leisure,Swimming pool contributions (Northern Swimming Pool),2596,5201,4230
expenditure,Parks and leisure,GROUP TOTAL,216110,238722,249714
expenditure,Refuse disposal,Waste disposal charges,163800,173628,180573
expenditure,Refuse disposal,Energy-from-waste (EFW) costs,154010,166866,171703
expenditure,Refuse disposal,Amenity site charges (Eastern & Northern sites),65224,67158,81482
expenditure,Refuse disposal,Refuse bins,624,2623,672
expenditure,Refuse disposal,GROUP TOTAL,383658,410275,434430
expenditure,Housing services (Cooil Roi),Salaries and wages,109842,117724,106374
expenditure,Housing services (Cooil Roi),Administration charge,8345,8762,9622
expenditure,Housing services (Cooil Roi),Heating,55496,44418,43938
expenditure,Housing services (Cooil Roi),Repairs and maintenance,42515,44139,38147
expenditure,Housing services (Cooil Roi),Community area costs,7017,6456,11296
expenditure,Housing services (Cooil Roi),Other costs,20383,21673,22896
expenditure,Housing services (Cooil Roi),"Rents, rates, taxes and other charges",17278,18402,20239
expenditure,Housing services (Cooil Roi),Depreciation and impairment,41273,49191,50056
expenditure,Housing services (Cooil Roi),GROUP TOTAL,302149,310765,302568
expenditure,"Depreciation, pensions & debt servicing",Depreciation,41706,46372,45064
expenditure,"Depreciation, pensions & debt servicing",Pension scheme — net current service cost (cost year only),22000,0,0
expenditure,"Depreciation, pensions & debt servicing",Interest payable and finance charges,37846,63124,63905
expenditure,"Depreciation, pensions & debt servicing",Net pension interest cost (cost year only),3000,0,0
expenditure,"Depreciation, pensions & debt servicing",GROUP TOTAL,104552,109496,108969
expenditure,,TOTAL EXPENDITURE (all groups),1283431,1356919,1390950
result,,Result for the year (surplus/(deficit)); negative = deficit drawn from reserves,-65331,-7206,92829
rates,,Rate in the pound (general rate),152p,168p,191.5p
rates,,Flat refuse charge per property,£171,£189,£215.50
rates,,Certified net rateable value (£),324710,325968,326137
