section,line,fy2024_gbp,fy2023_gbp,fy2022_gbp
Fixed assets,Tangible fixed assets,397137,468051,478965
Current assets,Debtors,26293,19110,32051
Current assets,Cash at bank,47301,51914,49043
Current assets,Subtotal,73594,71024,81094
Current liabilities,Creditors,-18388,-20022,-22656
Net,Net current assets,55206,51002,58438
Net,Total assets less liabilities (net assets),452343,519053,537403
Reserves,General fund,55206,51002,58438
Reserves,Capital adjustment account,112884,101346,105373
Reserves,Revaluation reserve,284253,366705,373592
Reserves,Total reserves,452343,519053,537403
Memo,Borrowing,0,0,0
