year_ended,section,line,amount_gbp
2022,Income,Income from the General Rate Fund,67244
2022,Income,Income from the General Refuse Fund,38921
2022,Income,Village hall hire,2520
2022,Income,Search fees,1250
2022,Income,Interest income,3
2022,Expenditure,Refuse collection,39788
2022,Expenditure,Northern Civic Amenity Site Board contribution,18348
2022,Expenditure,Clerk's salary,11209
2022,Expenditure,Depreciation,10914
2022,Expenditure,Street lighting,9939
2022,Expenditure,Parish hall expenses,9502
2022,Expenditure,Public conveniences,5296
2022,Expenditure,Local highway services,7146
2022,Expenditure,Office expenses,3120
2022,Expenditure,Community recreational facilities,2930
2022,Expenditure,Election expenses,2632
2022,Expenditure,Accountancy fee,2250
2022,Expenditure,Independent review fee,1842
2022,Expenditure,Rate collection charges,1724
2022,Expenditure,Northern Local Authorities Swimming Pool Board contribution,1469
2022,Expenditure,Insurance,1910
2022,Expenditure,Litter collection expenses,704
2022,Expenditure,Public Christmas trees and decorations,297
2022,Expenditure,Miscellaneous,721
2022,Expenditure,Rates write off,317
2022,Expenditure,Bank charges,184
2022,Expenditure,Travel expenses,87
2022,Expenditure,Legal and professional fees,0
2022,Summary,Total income,109938
2022,Summary,Total expenditure,132329
2022,Summary,Deficit on provision of services,22391
2022,Summary,Other comprehensive income and expenditure (revaluation),0
2022,Summary,Total comprehensive income and expenditure (deficit),22391
2022,Summary,General rate in the pound (pence),119
2022,Summary,Refuse rate in the pound (pence),67
2022,Summary,Net rateable value - general rate (GBP),58910
2022,Summary,Net rateable value - refuse rate (GBP),37878
2023,Income,Income from the General Rate Fund,70593
2023,Income,Income from the General Refuse Fund,38161
2023,Income,Village hall hire,2123
2023,Income,Search fees,650
2023,Income,Interest income,474
2023,Expenditure,Refuse collection,38236
2023,Expenditure,Northern Civic Amenity Site Board contribution,17304
2023,Expenditure,Clerk's salary,9992
2023,Expenditure,Depreciation,10914
2023,Expenditure,Local highway services,10436
2023,Expenditure,Parish hall expenses,9531
2023,Expenditure,Community recreational facilities,5975
2023,Expenditure,Street lighting,5691
2023,Expenditure,Public conveniences,6605
2023,Expenditure,Accountancy fee,2305
2023,Expenditure,Legal and professional fees,1660
2023,Expenditure,Insurance,1933
2023,Expenditure,Independent review fee,2100
2023,Expenditure,Rate collection charges,1928
2023,Expenditure,Northern Local Authorities Swimming Pool Board contribution,1482
2023,Expenditure,Office expenses,816
2023,Expenditure,Litter collection expenses,1280
2023,Expenditure,Bank charges,237
2023,Expenditure,Public Christmas trees and decorations,616
2023,Expenditure,Miscellaneous,488
2023,Expenditure,Rates write off,822
2023,Expenditure,Travel expenses,0
2023,Expenditure,Election expenses,0
2023,Summary,Total income,112001
2023,Summary,Total expenditure,130351
2023,Summary,Deficit on provision of services,18350
2023,Summary,Other comprehensive income and expenditure (revaluation),0
2023,Summary,Total comprehensive income and expenditure (deficit),18350
2023,Summary,General rate in the pound (pence),125
2023,Summary,Refuse rate in the pound (pence),67
2023,Summary,Net rateable value - general rate (GBP),59766
2023,Summary,Net rateable value - refuse rate (GBP),37878
2024,Income,Income from the General Rate Fund,84459
2024,Income,Income from the General Refuse Fund,39452
2024,Income,Village hall hire,3966
2024,Income,Search fees,530
2024,Income,Interest income,1539
2024,Expenditure,Refuse collection,41236
2024,Expenditure,Northern Civic Amenity Site Board contribution,18876
2024,Expenditure,Clerk's salary,11185
2024,Expenditure,Depreciation,10914
2024,Expenditure,Local highway services,10907
2024,Expenditure,Parish hall expenses,9587
2024,Expenditure,Street lighting,9280
2024,Expenditure,Public conveniences,5848
2024,Expenditure,Community recreational facilities,5161
2024,Expenditure,Rate collection charges,2228
2024,Expenditure,Insurance,2244
2024,Expenditure,Independent review fee,2100
2024,Expenditure,Accountancy fee,1690
2024,Expenditure,Miscellaneous,1262
2024,Expenditure,Northern Local Authorities Swimming Pool Board contribution,947
2024,Expenditure,Rates write off,971
2024,Expenditure,Office expenses,640
2024,Expenditure,Legal and professional fees,500
2024,Expenditure,Litter collection expenses,602
2024,Expenditure,Bank charges,248
2024,Expenditure,Public Christmas trees and decorations,230
2024,Expenditure,Travel expenses,0
2024,Expenditure,Election expenses,0
2024,Summary,Total income,129946
2024,Summary,Total expenditure,136656
2024,Summary,Deficit on provision of services,6710
2024,Summary,Other comprehensive income and expenditure (revaluation),-60000
2024,Summary,Total comprehensive income and expenditure (deficit),66710
2024,Summary,General rate in the pound (pence),149
2024,Summary,Refuse rate in the pound (pence),69
2024,Summary,Net rateable value - general rate (GBP),59766
2024,Summary,Net rateable value - refuse rate (GBP),37878
