year_ended,section,line,amount_gbp
2022,Income,Income from General Rate Fund,102843
2022,Income,Income from Refuse Rate Fund,93515
2022,Income,Search fees,3800
2022,Income,Other income,1502
2022,Income,Community Hall income,5606
2022,Income,Interest and investment income,0
2022,Finance and general purposes,Clerk's Salary,18767
2022,Finance and general purposes,Cleaner's Salary,8137
2022,Finance and general purposes,Holiday Pay,105
2022,Finance and general purposes,Rate Collection Charges,1197
2022,Finance and general purposes,Office Expenses,1403
2022,Finance and general purposes,Assurance Review,1900
2022,Finance and general purposes,Professional Fees,0
2022,Finance and general purposes,Refuse Rate Collection Charges,1359
2022,Finance and general purposes,Swimming Pool Contributions,2700
2022,Finance and general purposes,Bad Debts,500
2022,Finance and general purposes,Bank Charges,126
2022,Finance and general purposes,General Expenses,1067
2022,Finance and general purposes,Insurance,2389
2022,Finance and general purposes,Community Event Costs,0
2022,Finance and general purposes,Local Services,13448
2022,Finance and general purposes,Elections,776
2022,Property,Hall Expenses,3687
2022,Property,Depreciation,15320
2022,Works and Development,Public convenience and water rates,20
2022,Works and Development,Street Lighting,3937
2022,Refuse Disposal,Civic Amenity Site contribution,35076
2022,Refuse Disposal,Refuse Collection Board,99108
2022,Finance costs,Interest payable,25
2022,Summary,Gross cost of services (4 committees + finance),211047
2022,Summary,Net cost of General Fund Services (published),200114
2022,Summary,Total income,207266
2022,Summary,Deficit for the year (published),3781
2023,Income,Income from General Rate Fund,104466
2023,Income,Income from Refuse Rate Fund,94960
2023,Income,Search fees,3025
2023,Income,Other income,2318
2023,Income,Community Hall income,9831
2023,Income,Interest and investment income,23
2023,Finance and general purposes,Clerk's Salary,20463
2023,Finance and general purposes,Cleaner's Salary,8232
2023,Finance and general purposes,Holiday Pay,10
2023,Finance and general purposes,Rate Collection Charges,1651
2023,Finance and general purposes,Office Expenses,1592
2023,Finance and general purposes,Assurance Review,2200
2023,Finance and general purposes,Professional Fees,0
2023,Finance and general purposes,Refuse Rate Collection Charges,1555
2023,Finance and general purposes,Swimming Pool Contributions,2829
2023,Finance and general purposes,Bad Debts,0
2023,Finance and general purposes,Bank Charges,140
2023,Finance and general purposes,General Expenses,1323
2023,Finance and general purposes,Insurance,2556
2023,Finance and general purposes,Community Event Costs,987
2023,Finance and general purposes,Local Services,18390
2023,Finance and general purposes,Elections,0
2023,Property,Hall Expenses,6703
2023,Property,Depreciation,15320
2023,Works and Development,Public convenience and water rates,15
2023,Works and Development,Street Lighting,4058
2023,Refuse Disposal,Civic Amenity Site contribution,33060
2023,Refuse Disposal,Refuse Collection Board,99273
2023,Finance costs,Interest payable,0
2023,Summary,Gross cost of services (4 committees + finance),220357
2023,Summary,Net cost of General Fund Services (published),205183
2023,Summary,Total income,214623
2023,Summary,Deficit for the year (published),5734
2022,Rates,General rate poundage (pence in the pound),97
2022,Rates,General rate net rateable value (GBP),112439
2022,Rates,Refuse rate poundage (pence in the pound),67
2022,Rates,Refuse rate net rateable value (GBP),105415
2022,Rates,Refuse fixed charge per household (GBP),48
2022,Rates,Refuse fixed-charge properties (count),593
2023,Rates,General rate poundage (pence in the pound),97
2023,Rates,General rate net rateable value (GBP),112762
2023,Rates,Refuse rate poundage (pence in the pound),67
2023,Rates,Refuse rate net rateable value (GBP),105761
2023,Rates,Refuse fixed charge per household (GBP),48
2023,Rates,Refuse fixed-charge properties (count),593
