section,line,fy2024_gbp,fy2023_gbp,fy2022_gbp
Fixed assets,Tangible fixed assets,2877293,2898315,3909934
Current assets,Debtors,316351,101798,82402
Current assets,Cash at bank,1086732,1130604,483554
Current assets,Subtotal,1403083,1232402,565956
Current liabilities,Short-term borrowing,-81519,-77970,-74414
Current liabilities,Creditors,-195590,-87590,-113011
Net,Net current assets,1125974,1066842,378531
Net,Total assets less current liabilities,4003267,3965157,4288465
Long-term,Pension liability,-75000,-118000,-572000
Long-term,Long-term borrowing,-181904,-265862,-341390
Net,Total assets less liabilities (net assets),3746363,3581295,3375075
Reserves,Revaluation reserve,1154055,1247157,1585880
Reserves,Accumulated surpluses,1124912,1062228,370363
Reserves,Pensions reserve,-75000,-118000,-572000
Reserves,Usable capital receipts,24948,24948,24948
Reserves,Capital adjustment account,1517448,1364962,1965884
Reserves,Total reserves,3746363,3581295,3375075
