year_ended,section,line,amount_gbp
2022,Income,Rates income,740564
2022,Income,Bank interest,43
2022,Income,Search fees,3060
2022,Income,Village hall hire,12378
2022,Income,Refuse collection fees,97719
2022,Income,Lease of office,99864
2022,Income,Miscellaneous income,644
2022,Services,Refuse collection,317474
2022,Services,Street lighting,24058
2022,Services,Public areas and grounds,3702
2022,Services,Civic amenity site,111631
2022,Services,Swimming pool contribution,9821
2022,Services,Toilets,2613
2022,Services,Village hall expenses,14027
2022,Services,Transferred services,13023
2022,Admin,Clerk's salary and expenses,76422
2022,Admin,Office expenses,136369
2022,Admin,Rate collection charges,7939
2022,Admin,Members' expenses,1313
2022,Admin,Election expenses,759
2022,Admin,Miscellaneous expenses,3095
2022,Admin,Assets purchased by revenue,14702
2022,Admin,Rates written back,3719
2022,Admin,Bad debt provision,15583
2022,Compliance,Accountancy fees,4784
2022,Compliance,Assurance review,2506
2022,Compliance,Internal audit fees,2800
2022,Compliance,Insurance,11205
2022,Compliance,Legal and professional fees,180
2022,Compliance,Bank charges,748
2022,Debt,Loan capital repayments,71276
2022,Debt,Loan interest,21425
2022,Summary,Total income,954272
2022,Summary,Total expenditure,871174
2022,Summary,Surplus for the year,83098
2022,Summary,Rate poundage (pence),199
2022,Summary,Net rateable value,399187
2023,Income,Rates income,747955
2023,Income,Bank interest,6546
2023,Income,Search fees,3180
2023,Income,Village hall hire,11902
2023,Income,Refuse collection fees,104401
2023,Income,Lease of office,100430
2023,Income,Miscellaneous income,3141
2023,Services,Refuse collection,341823
2023,Services,Street lighting,32492
2023,Services,Public areas and grounds,16965
2023,Services,Civic amenity site,133119
2023,Services,Swimming pool contribution,9890
2023,Services,Toilets,2100
2023,Services,Village hall expenses,16884
2023,Services,Transferred services,14535
2023,Admin,Clerk's salary and expenses,80694
2023,Admin,Office expenses,96485
2023,Admin,Rate collection charges,8117
2023,Admin,Members' expenses,4876
2023,Admin,Election expenses,0
2023,Admin,Miscellaneous expenses,3204
2023,Admin,Assets purchased by revenue,12632
2023,Admin,Rates written back,-10644
2023,Admin,Bad debt provision,2230
2023,Compliance,Accountancy fees,4436
2023,Compliance,Assurance review,2750
2023,Compliance,Internal audit fees,2800
2023,Compliance,Insurance,11332
2023,Compliance,Legal and professional fees,2000
2023,Compliance,Bank charges,1011
2023,Debt,Loan capital repayments,71974
2023,Debt,Loan interest,15683
2023,Summary,Total income,977555
2023,Summary,Total expenditure,877388
2023,Summary,Surplus for the year,100167
2023,Summary,Rate poundage (pence),199
2023,Summary,Net rateable value,399534
2024,Income,Rates income,787588
2024,Income,Bank interest,26834
2024,Income,Other interest received,4005
2024,Income,Search fees,3077
2024,Income,Village hall hire,12098
2024,Income,Refuse collection fees,115581
2024,Income,Lease of office,103432
2024,Income,Open space compensation,50000
2024,Income,Miscellaneous income,954
2024,Services,Refuse collection,415239
2024,Services,Street lighting,45441
2024,Services,Public areas and grounds,43185
2024,Services,Civic amenity site,147674
2024,Services,Swimming pool contribution,24788
2024,Services,Toilets,2482
2024,Services,Village hall expenses,19797
2024,Services,Transferred services,15821
2024,Admin,Clerk's salary and expenses,87263
2024,Admin,Office expenses,83486
2024,Admin,Rate collection charges,8553
2024,Admin,Members' expenses,4316
2024,Admin,Miscellaneous expenses,3410
2024,Admin,Assets purchased by revenue,20510
2024,Admin,Rates written back,-12333
2024,Admin,Bad debt provision,-2616
2024,Compliance,Accountancy fees,5284
2024,Compliance,Assurance review,2750
2024,Compliance,Internal audit fees,2800
2024,Compliance,Insurance,12561
2024,Compliance,Legal and professional fees,9390
2024,Compliance,Bank charges,1554
2024,Debt,Loan capital repayments,80407
2024,Debt,Loan interest,18649
2024,Summary,Total income,1103569
2024,Summary,Total expenditure,1040411
2024,Summary,Surplus for the year,63158
2024,Summary,Rate poundage (pence),199
2024,Summary,Net rateable value,419720
