year_ended,section,line,amount_gbp
2022,Income,Rates - income from rate fund,287659
2022,Income,Search fees,4175
2022,Income,Refuse service fees,1662
2022,Income,Interest income,220
2022,Income,Office rent,901
2022,Income,Miscellaneous income,0
2022,Services,Refuse collection and disposal,141471
2022,Services,Western Civic Amenity Site Board,63673
2022,Services,Street lighting,19958
2022,Services,Grass cutting and gardening,8703
2022,Services,Gulleys and roads,6057
2022,Services,Public conveniences,5116
2022,Services,WLASPB contribution,4586
2022,Services,Depreciation,4242
2022,Services,Bad debt provision,3861
2022,Services,Rate collection charges,3458
2022,Services,Dog bins,3288
2022,Services,Christmas trees and decorations,2007
2022,Services,Members expenses,1653
2022,Services,Computer,1018
2022,Services,Clock expenses,572
2022,Services,Civic service,541
2022,Services,IOMMA membership and expenses,400
2022,Services,Election expenses,324
2022,Services,Donations,75
2022,Admin,Clerk salary,15170
2022,Admin,Office expenses,2876
2022,Admin,Pensions net current service cost,1000
2022,Admin,Miscellaneous expenses,472
2022,Legal,Insurance,2219
2022,Legal,Assurance review,1950
2022,Legal,Internal audit fees,1890
2022,Legal,Accountancy fees,1844
2022,Legal,Bank charges,379
2022,Legal,Actuarial fees,183
2022,Summary,Total income,294617
2022,Summary,Net cost of services,298986
2022,Summary,Deficit for the year,-4369
2023,Income,Rates - income from rate fund,291075
2023,Income,Search fees,3300
2023,Income,Refuse service fees,1337
2023,Income,Interest income,1322
2023,Income,Office rent,911
2023,Income,Miscellaneous income,100
2023,Services,Refuse collection and disposal,142155
2023,Services,Western Civic Amenity Site Board,76264
2023,Services,Street lighting,19961
2023,Services,Public conveniences,11178
2023,Services,Grass cutting and gardening,10150
2023,Services,Gulleys and roads,7659
2023,Services,WLASPB contribution,4658
2023,Services,Depreciation,4375
2023,Services,Dog bins,3881
2023,Services,Rate collection charges,3534
2023,Services,Platinum Jubilee costs,2579
2023,Services,Christmas trees and decorations,2146
2023,Services,Members expenses,1288
2023,Services,Computer,782
2023,Services,Civic service,647
2023,Services,IOMMA membership and expenses,344
2023,Services,Newspaper notices,236
2023,Services,Newsletter,182
2023,Services,Donations,75
2023,Services,Repairs and maintenance,68
2023,Services,Bad debt provision,-988
2023,Services,Rates write off,-1326
2023,Admin,Clerk salary,16454
2023,Admin,Pensions net current service cost,3000
2023,Admin,Office expenses,2644
2023,Admin,Miscellaneous expenses,0
2023,Legal,Internal audit fees,2835
2023,Legal,Insurance,2407
2023,Legal,Assurance review,2350
2023,Legal,Accountancy fees,1806
2023,Legal,Bank charges,335
2023,Legal,Actuarial fees,210
2023,Summary,Total income,298045
2023,Summary,Net cost of services,321889
2023,Summary,Deficit for the year,-23844
2024,Income,Rates - income from rate fund,322316
2024,Income,Search fees,2700
2024,Income,Refuse service fees,1262
2024,Income,Interest income,3083
2024,Income,Office rent,946
2024,Income,Miscellaneous income,1172
2024,Services,Refuse collection and disposal,152058
2024,Services,Western Civic Amenity Site Board,70530
2024,Services,Street lighting,26929
2024,Services,Grass cutting and gardening,18735
2024,Services,Gulleys and roads,13640
2024,Services,WLASPB contribution,4676
2024,Services,Public conveniences,4589
2024,Services,Depreciation,4304
2024,Services,Dog bins,4251
2024,Services,Rate collection charges,3780
2024,Services,Christmas trees and decorations,2296
2024,Services,Bad debt provision,2278
2024,Services,Kings coronation expenses,2086
2024,Services,Computer,1518
2024,Services,Members expenses,1203
2024,Services,Civic service,734
2024,Services,IOMMA membership and expenses,388
2024,Services,Newspaper notices,100
2024,Services,Donations,75
2024,Services,Rates write off,-1053
2024,Admin,Clerk salary,16664
2024,Admin,Office expenses,3440
2024,Admin,Miscellaneous expenses,385
2024,Admin,Pensions net current service cost,0
2024,Legal,Legal and professional fees,7750
2024,Legal,Internal audit fees,2835
2024,Legal,Insurance,2479
2024,Legal,Assurance review,2467
2024,Legal,Accountancy fees,2137
2024,Legal,Actuarial fees,341
2024,Legal,Bank charges,333
2024,Summary,Total income,331479
2024,Summary,Net cost of services,351948
2024,Summary,Deficit for the year,-20469
