year_ended,section,line,amount_gbp
2022,Income,General rates,160618
2022,Income,Refuse rates,105892
2022,Income,Property search fees,3140
2022,Income,Hall rental,1215
2022,Income,Garden rental,200
2022,Income,Release of government grant,14336
2022,Income,Bank interest,6
2022,Refuse & waste,Refuse collection charges,104463
2022,Refuse & waste,Western Civic Amenity Site Board — contribution,43803
2022,Refuse & waste,Bad debts written off — refuse rates,356
2022,Refuse & waste,Provision for bad debts — refuse rates,282
2022,Works & environment,Street lighting,16850
2022,Works & environment,Repairs and renewals,17805
2022,Works & environment,Amenity areas maintenance,8587
2022,Works & environment,"Litter, dog bins & by-law duties",7811
2022,Works & environment,Cleaning & public conveniences,2727
2022,Leisure & community,Community events,429
2022,Leisure & community,Western Local Authorities Swimming Pool Board — contribution,2895
2022,Administrative expenses,Salary and wages — Clerk,32095
2022,Administrative expenses,Office expenses,6222
2022,Administrative expenses,Meeting attendance allowances,1062
2022,Administrative expenses,Miscellaneous expenses,2211
2022,Administrative expenses,Rate collection charges,3299
2022,Administrative expenses,Shortfall met out of General Rates Revenue,5575
2022,Administrative expenses,Bad debts written off — general rates,-14
2022,Administrative expenses,Provision for bad debts — general rates,75
2022,Administrative expenses,Rates,483
2022,Administrative expenses,Election expenses,3421
2022,"Legal, professional & compliance",Accountancy fees,4926
2022,"Legal, professional & compliance",Assurance fees,2400
2022,"Legal, professional & compliance",Legal & actuarial fees,3661
2022,"Legal, professional & compliance",Bank charges,265
2022,"Legal, professional & compliance",Insurance,3511
2022,"Legal, professional & compliance",Internal audit fee,1800
2022,Depreciation & pension costs,Depreciation,14238
2022,Depreciation & pension costs,Pension current service cost,4000
2022,Depreciation & pension costs,Pension interest cost,0
2022,Summary,Total income,285407
2022,Summary,Total expenditure,295238
2022,Summary,Deficit for the year (published),-9831
2022,Rates,General rate poundage (pence in the pound),144
2022,Rates,General rate net rateable value (GBP),116075
2022,Rates,Refuse rate poundage (pence in the pound),67
2022,Rates,Refuse rate net rateable value (GBP),109029
2023,Income,General rates,160935
2023,Income,Refuse rates,106056
2023,Income,Property search fees,3320
2023,Income,Hall rental,60
2023,Income,Miscellaneous income,715
2023,Income,Garden rental,200
2023,Income,Release of government grant,25764
2023,Income,Bank interest,483
2023,Refuse & waste,Refuse collection charges,98855
2023,Refuse & waste,Western Civic Amenity Site Board — contribution,44985
2023,Refuse & waste,Bad debts written off — refuse rates,263
2023,Refuse & waste,Provision for bad debts — refuse rates,-604
2023,Works & environment,Street lighting,11211
2023,Works & environment,Repairs and renewals,4915
2023,Works & environment,Amenity areas maintenance,13505
2023,Works & environment,"Litter, dog bins & by-law duties",7279
2023,Works & environment,Cleaning & public conveniences,603
2023,Leisure & community,Community events,2338
2023,Leisure & community,Western Local Authorities Swimming Pool Board — contribution,2898
2023,Administrative expenses,Salary and wages — Clerk,26655
2023,Administrative expenses,Office expenses,11488
2023,Administrative expenses,Meeting attendance allowances,981
2023,Administrative expenses,Miscellaneous expenses,3989
2023,Administrative expenses,Rate collection charges,3893
2023,Administrative expenses,Shortfall met out of General Rates Revenue,11106
2023,Administrative expenses,Bad debts written off — general rates,182
2023,Administrative expenses,Provision for bad debts — general rates,-1123
2023,Administrative expenses,Rates,515
2023,Administrative expenses,Election expenses,0
2023,"Legal, professional & compliance",Accountancy fees,4796
2023,"Legal, professional & compliance",Assurance fees,3094
2023,"Legal, professional & compliance",Legal & actuarial fees,3358
2023,"Legal, professional & compliance",Bank charges,276
2023,"Legal, professional & compliance",Insurance,3952
2023,"Legal, professional & compliance",Internal audit fee,0
2023,Depreciation & pension costs,Depreciation,15802
2023,Depreciation & pension costs,Pension current service cost,0
2023,Depreciation & pension costs,Pension interest cost,1000
2023,Summary,Total income,297533
2023,Summary,Total expenditure,276212
2023,Summary,Surplus for the year (published),21321
2023,Rates,General rate poundage (pence in the pound),144
2023,Rates,General rate net rateable value (GBP),115796
2023,Rates,Refuse rate poundage (pence in the pound),67
2023,Rates,Refuse rate net rateable value (GBP),108750
