section,line,fy2025_gbp,fy2024_gbp,fy2023_gbp,fy2022_gbp
Fixed assets,Operational assets,31796958,32213019,26424566,26108740
Fixed assets,Non-operational assets,3014002,3014002,2124321,2124321
Fixed assets,Subtotal,34810960,35227021,28548887,28233061
Fixed assets,Long-term debtors,0,26394,51547,75540
Fixed assets,Total,34810960,35253415,28600434,28308601
Current assets,Debtors,297732,276034,348408,329210
Current assets,Cash at bank,524118,297206,253847,774666
Current assets,Subtotal,821850,573240,602255,1103876
Current liabilities,Short-term borrowing,-749231,-717046,-680850,-672687
Current liabilities,Creditors falling due within one year,-410631,-300553,-226171,-167261
Current liabilities,Subtotal,-1159862,-1017599,-907021,-839948
Net,Net current assets (liabilities),-338012,-444359,-304766,263928
Net,Total assets less current liabilities,34472948,34809056,28295668,28572529
Long-term liabilities,Long-term borrowing,-4462284,-5126175,-5825713,-6346171
Long-term liabilities,Pension liabilities,0,-18000,-108000,-1377000
Net,Total assets less liabilities (net assets),30010664,29664881,22361955,20849358
Reserves,Revaluation reserve,24072442,24366618,17543976,17760933
Reserves,Capital adjustment account,5584964,5096239,4705479,4330047
Reserves,Pensions reserve,0,-18000,-108000,-1377000
Reserves,General revenue reserve,468871,384888,409114,353181
Reserves,Housing maintenance reserve,-133237,-182487,-201732,-230921
Reserves,Housing revenue reserve,0,0,-4506,-4506
Reserves,Capital receipts reserve,17624,17624,17624,17624
Reserves,Total reserves,30010664,29664881,22361955,20849358
