year_ended,section,line,amount_gbp
2022,Income,Income from the General Rate Fund,908632
2022,Income,Interest and investment income,91
2022,Income,Housing deficiency receivable,67065
2022,Admin,Salaries,174741
2022,Admin,Audit and accountancy fees,19336
2022,Admin,Professional fees,8931
2022,Admin,Postage and office expenses,6595
2022,Admin,Information technology,18792
2022,Admin,Telephone,2202
2022,Admin,Press notices,1381
2022,Admin,Stationery,1028
2022,Admin,Rates,1650
2022,Admin,Heat and light,2052
2022,Admin,Repairs and renewals,2961
2022,Admin,Insurance,17658
2022,Admin,Election expenses,97
2022,Admin,Cleaning materials and wages,0
2022,Admin,Entertainment of visitors,12149
2022,Admin,Rate collection fee,9698
2022,Admin,Depreciation,9190
2022,Admin,Attendance allowance,499
2022,Admin,Miscellaneous,519
2022,Admin,Provision for doubtful debts,4433
2022,Admin,Donations,3280
2022,Admin,Net current service cost of pensions,78000
2022,Admin,Search fees (credit),-14080
2022,Admin,Housing administration charge (credit),-56684
2022,Admin,Southern civic administration charge (credit),-22522
2022,Admin,Rate collection commission,1000
2022,Admin,Tourist information and other incidentals (credit),-4345
2022,Glens,Glens general operating costs,824
2022,Glens,Breagle Glen (net of rents received),-3143
2022,Glens,Athol Park Glen,2755
2022,Glens,Shore management,11586
2022,Glens,Plants and flowers,744
2022,Glens,Rowany Golf Course and misc rents (net),-58337
2022,Works,Roads (net of government grant),-2170
2022,Works,Public conveniences,35215
2022,Works,Street and decorative lighting,72285
2022,Works,General department costs (net),193665
2022,Works,Sewers (net),-21785
2022,Refuse,General materials,930
2022,Refuse,Wages and administration,40973
2022,Refuse,Vehicle expenses,34609
2022,Refuse,Amenity site,86333
2022,Refuse,Disposal charges,136681
2022,Refuse,Depreciation,38136
2022,Refuse,Disposal charges recovered (credit),-50553
2022,Refuse,Recharge of expenses (credit),-25622
2022,Amenities,Library (net),57706
2022,Amenities,Other amenities (net),41584
2022,Amenities,Southern Local Authorities Swimming Pool Board,7511
2022,Housing,Repairs and maintenance,376755
2022,Housing,Insurance,16212
2022,Housing,Supervision and management,56684
2022,Housing,"Rents, rates, taxes and other charges",173841
2022,Housing,Depreciation,396125
2022,Housing,Legal and admin fees,5975
2022,Housing,Bad debts (credit),-82
2022,Housing,Dwelling rents excluding rates (credit),-979438
2022,Housing,Other income (credit),-164450
2022,Debt,Interest payable and similar charges,204741
2022,Debt,Pension interest cost and expected return on pension assets,31000
2022,Summary,Net cost of services,693045
2022,Summary,Deficit for the year,-20063
2022,Summary,Rate poundage (pence),316
2022,Summary,Net rateable value,300608
2023,Income,Income from the General Rate Fund,967820
2023,Income,Interest and investment income,2625
2023,Income,Housing deficiency receivable,125480
2023,Admin,Salaries,246526
2023,Admin,Audit and accountancy fees,18797
2023,Admin,Professional fees,5304
2023,Admin,Postage and office expenses,4908
2023,Admin,Information technology,21273
2023,Admin,Telephone,2204
2023,Admin,Press notices,491
2023,Admin,Stationery,1117
2023,Admin,Rates,1791
2023,Admin,Heat and light,3579
2023,Admin,Repairs and renewals,10276
2023,Admin,Insurance,17633
2023,Admin,Election expenses,5614
2023,Admin,Cleaning materials and wages,255
2023,Admin,Entertainment of visitors,9899
2023,Admin,Rate collection fee,10124
2023,Admin,Depreciation,9190
2023,Admin,Attendance allowance,864
2023,Admin,Miscellaneous,516
2023,Admin,Provision for doubtful debts,8792
2023,Admin,Donations,2967
2023,Admin,Net current service cost of pensions,70000
2023,Admin,Search fees (credit),-12960
2023,Admin,Housing administration charge (credit),-63087
2023,Admin,Southern civic administration charge (credit),-28350
2023,Admin,Rate collection commission (credit),-4229
2023,Admin,Tourist information and other incidentals (credit),-43743
2023,Glens,Glens general operating costs,996
2023,Glens,Breagle Glen (net of rents received),-2060
2023,Glens,Athol Park Glen,1289
2023,Glens,Shore management,12960
2023,Glens,Plants and flowers,1869
2023,Glens,Rowany Golf Course and misc rents (net),-66334
2023,Works,Roads (net of government grant),-2205
2023,Works,Public conveniences,32523
2023,Works,Street and decorative lighting,86965
2023,Works,General department costs (net),195048
2023,Works,Sewers (net),-11104
2023,Refuse,General materials,1757
2023,Refuse,Wages and administration,44251
2023,Refuse,Vehicle expenses,36236
2023,Refuse,Amenity site,100020
2023,Refuse,Disposal charges,136811
2023,Refuse,Depreciation,38137
2023,Refuse,Disposal charges recovered (credit),-49570
2023,Refuse,Recharge of expenses (credit),-23116
2023,Amenities,Library (net),61262
2023,Amenities,Other amenities (net),50669
2023,Amenities,Southern Local Authorities Swimming Pool Board,7517
2023,Housing,Repairs and maintenance,214704
2023,Housing,Insurance,17520
2023,Housing,Supervision and management,63087
2023,Housing,"Rents, rates, taxes and other charges",182103
2023,Housing,Depreciation,395073
2023,Housing,Legal and admin fees,5756
2023,Housing,Bad debts (credit),-1984
2023,Housing,Dwelling rents excluding rates (credit),-1001337
2023,Housing,Other income (credit),-169313
2023,Debt,Interest payable and similar charges,263047
2023,Debt,Pension interest cost and expected return on pension assets,35000
2023,Summary,Net cost of services,533801
2023,Summary,Surplus for the year,138597
2023,Summary,Rate poundage (pence),331
2023,Summary,Net rateable value,306769
2024,Income,Income from the General Rate Fund,1062602
2024,Income,Interest and investment income,9910
2024,Income,Housing deficiency receivable,150760
2024,Admin,Salaries,264628
2024,Admin,Audit and accountancy fees,19581
2024,Admin,Professional fees,23345
2024,Admin,Postage and office expenses,5308
2024,Admin,Information technology,13031
2024,Admin,Telephone,1010
2024,Admin,Press notices,0
2024,Admin,Stationery,1163
2024,Admin,Rates,2027
2024,Admin,Heat and light,2762
2024,Admin,Repairs and renewals,1982
2024,Admin,Insurance,20579
2024,Admin,Election expenses,0
2024,Admin,Cleaning materials and wages,70
2024,Admin,Entertainment of visitors,17240
2024,Admin,Rate collection fee,11061
2024,Admin,Depreciation,7602
2024,Admin,Attendance allowance,2089
2024,Admin,Miscellaneous,949
2024,Admin,Provision for doubtful debts,18934
2024,Admin,Donations,3635
2024,Admin,Net current service cost of pensions (credit),-21000
2024,Admin,Search fees (credit),-15035
2024,Admin,Housing administration charge (credit),-67426
2024,Admin,Southern civic administration charge (credit),-29556
2024,Admin,Rate collection commission,0
2024,Admin,Tourist information and other incidentals (credit),-9251
2024,Glens,Glens general operating costs,2008
2024,Glens,Breagle Glen (net of rents received),-6366
2024,Glens,Athol Park Glen,3100
2024,Glens,Shore management,11145
2024,Glens,Plants and flowers,3643
2024,Glens,Rowany Golf Course and misc rents (net),-55720
2024,Works,Roads (net of government grant),-2205
2024,Works,Public conveniences,43620
2024,Works,Street and decorative lighting,86162
2024,Works,General department costs (net),168515
2024,Works,Sewers (net),23408
2024,Refuse,General materials,508
2024,Refuse,Wages and administration,46420
2024,Refuse,Vehicle expenses,64061
2024,Refuse,Amenity site,113387
2024,Refuse,Disposal charges,145539
2024,Refuse,Depreciation,38137
2024,Refuse,Disposal charges recovered (credit),-56588
2024,Refuse,Recharge of expenses (credit),-33170
2024,Amenities,Library (net),67696
2024,Amenities,Other amenities (net),45064
2024,Amenities,Southern Local Authorities Swimming Pool Board,7660
2024,Housing,Repairs and maintenance,223334
2024,Housing,Insurance,20579
2024,Housing,Supervision and management,67426
2024,Housing,"Rents, rates, taxes and other charges",199228
2024,Housing,Depreciation,395073
2024,Housing,Legal and admin fees,19606
2024,Housing,Bad debts,38980
2024,Housing,Dwelling rents excluding rates (credit),-1077265
2024,Housing,Other income (credit),-188346
2024,Debt,Interest payable and similar charges,339579
2024,Debt,Pension interest cost and expected return on pension assets,3000
2024,Summary,Net cost of services,538607
2024,Summary,Surplus for the year,191326
2024,Summary,Rate poundage (pence),361
2024,Summary,Net rateable value,306254
2025,Income,Income from the General Rate Fund,1116967
