year_ended,section,line,amount_gbp
2023,Income,Income from the General Rate Fund,466134
2023,Income,Search fees,4740
2023,Income,Other income,4434
2023,Income,Grants received,3600
2023,Income,Administration allowance,1317
2023,Income,Allotments income,1445
2023,Income,Commercial refuse charges,16190
2023,Income,Sale of wheelie bins/second bin charge,140
2023,Income,Dwelling rents (including rates),24961
2023,Fgp,Salaries and employers NI,29778
2023,Fgp,Rate collection charges,5843
2023,Fgp,Assurance review fee,3600
2023,Fgp,Accountancy,3940
2023,Fgp,Swimming pool contributions,8297
2023,Fgp,Bank charges,546
2023,Fgp,General expenses and office expenses,6116
2023,Fgp,Library contribution,1500
2023,Fgp,Insurance,1654
2023,Fgp,Members attendance allowances,450
2023,Fgp,Depreciation,999
2023,Fgp,Jubilee costs,3555
2023,Works,Depreciation - hall improvements,2199
2023,Works,Community assets,2479
2023,Works,Depreciation - community assets,463
2023,Works,Street lighting,52032
2023,Works,Depreciation - streetlights,1595
2023,Works,Highway works,66537
2023,Works,Allotment costs,363
2023,Refuse,Refuse disposal,113667
2023,Refuse,Refuse collection charges,75957
2023,Refuse,Civic amenity site contribution,112328
2023,Refuse,Purchase of wheelie bins and other,723
2023,Refuse,Recycling,1958
2023,Housing,Repairs and maintenance,1329
2023,Housing,Supervision and management,2121
2023,Housing,Rents rates taxes and other charges,3005
2023,Housing,Depreciation and impairment charges,10290
2023,Finance,Bad debt provision,862
2023,Finance,Interest payable on borrowing,1587
2023,Summary,Total income,522961
2023,Summary,Total expenditure,515773
2023,Summary,Surplus for the year,7188
2023,Summary,Rate poundage pence,147
2023,Summary,Total net rateable value,332665
2024,Income,Income from the General Rate Fund,517635
2024,Income,Search fees,3025
2024,Income,Other income,5550
2024,Income,Grants received,1421
2024,Income,Administration allowance,1417
2024,Income,Allotments income,1445
2024,Income,Commercial refuse charges,18130
2024,Income,Sale of wheelie bins/second bin charge,350
2024,Income,Dwelling rents (including rates),26919
2024,Fgp,Salaries and employers NI,36972
2024,Fgp,Rate collection charges,6334
2024,Fgp,Assurance review fee,3600
2024,Fgp,Accountancy,3250
2024,Fgp,Swimming pool contributions,18641
2024,Fgp,Bank charges,448
2024,Fgp,General expenses and office expenses,6595
2024,Fgp,Library contribution,1500
2024,Fgp,Insurance,1766
2024,Fgp,Members attendance allowances,360
2024,Fgp,Depreciation,999
2024,Fgp,Jubilee costs,1693
2024,Works,Depreciation - hall improvements,2199
2024,Works,Community assets,623
2024,Works,Depreciation - community assets,463
2024,Works,Street lighting,34539
2024,Works,Depreciation - streetlights,1595
2024,Works,Highway works,61525
2024,Works,Allotment costs,362
2024,Refuse,Refuse disposal,115783
2024,Refuse,Refuse collection charges,81958
2024,Refuse,Civic amenity site contribution,123722
2024,Refuse,Purchase of wheelie bins and other,1089
2024,Refuse,Recycling,3326
2024,Housing,Repairs and maintenance,2696
2024,Housing,Supervision and management,2607
2024,Housing,Rents rates taxes and other charges,3299
2024,Housing,Depreciation and impairment charges,11580
2024,Finance,Bad debt provision,1676
2024,Finance,Interest payable on borrowing,1807
2024,Summary,Total income,575892
2024,Summary,Total expenditure,533007
2024,Summary,Surplus for the year,42885
2024,Summary,Rate poundage pence,162
2024,Summary,Total net rateable value,333847
