section,line,fy2024_gbp,fy2023_gbp
Fixed assets,Tangible fixed assets,106969,127766
Current assets,Debtors,24356,34947
Current assets,Cash at bank,26159,33955
Current assets,Subtotal,50515,68902
Current liabilities,Creditors,-13594,-13350
Net,Net current assets,36921,55552
Long-term liabilities,Deferred income,-2016,-3023
Net,Total assets less liabilities,141874,180295
Reserves,Capital adjustment account,42498,71881
Reserves,Revaluation reserve,61446,49648
Reserves,General fund,37930,58766
Reserves,Total reserves,141874,180295
