year_ended,section,line,amount_gbp
2022,Income,Village Hall Hire,1645
2022,Income,Release of deferred grant,3212
2022,Income,Search Fees,1400
2022,Income,Income from general rate fund,90778
2022,Income,Income from general refuse rate fund,73438
2022,Expenditure,Northern Parishes Refuse Collection Board,75960
2022,Expenditure,Parish hall,4579
2022,Expenditure,Northern Civic Amenity Site,24360
2022,Expenditure,Clerk's salary,10812
2022,Expenditure,Depreciation,7630
2022,Expenditure,Grass cutting and gardening,5123
2022,Expenditure,Millennium park and sports field,1315
2022,Expenditure,Street lighting,7487
2022,Expenditure,Local highway services,8684
2022,Expenditure,Public conveniences,5082
2022,Expenditure,Dog bins and litter collection,3955
2022,Expenditure,Rate collection charges,2262
2022,Expenditure,NLA Swimming Pool Board - contribution,1800
2022,Expenditure,Insurance,2441
2022,Expenditure,Accountancy fee,2475
2022,Expenditure,Assurance fee,1800
2022,Expenditure,Election expenses,292
2022,Expenditure,Office expenses,1408
2022,Expenditure,Miscellaneous,28
2022,Expenditure,Bad debts written off/(back),-2121
2022,Expenditure,Bank charges,331
2022,Expenditure,Public Christmas trees and decorations,146
2022,Expenditure,Play park,1424
2022,Summary,Total income,170473
2022,Summary,Total expenditure,167273
2022,Summary,Net operating expenditure (income less expenditure),3200
2022,Summary,Revaluation write-down,0
2022,Summary,Net surplus/(deficit) for the year,3200
2022,Rates,General rate - pence in the pound,120
2022,Rates,General rate - net rateable value,78484
2022,Rates,Refuse rate - pence in the pound,67
2022,Rates,Refuse rate - net rateable value,77349
2022,Rates,Refuse fixed charge per property (GBP),48
2022,Rates,Rated properties (refuse),506
2023,Income,Village Hall Hire,1110
2023,Income,Release of deferred grant,3212
2023,Income,Search Fees,1325
2023,Income,Income from general rate fund,92618
2023,Income,Income from general refuse rate fund,73681
2023,Expenditure,Northern Parishes Refuse Collection Board,76244
2023,Expenditure,Parish hall,5975
2023,Expenditure,Northern Civic Amenity Site,23080
2023,Expenditure,Clerk's salary,13740
2023,Expenditure,Depreciation,6127
2023,Expenditure,Grass cutting and gardening,3975
2023,Expenditure,Millennium park and sports field,2520
2023,Expenditure,Street lighting,5902
2023,Expenditure,Local highway services,10454
2023,Expenditure,Public conveniences,4292
2023,Expenditure,Dog bins and litter collection,4680
2023,Expenditure,Rate collection charges,2837
2023,Expenditure,NLA Swimming Pool Board - contribution,2113
2023,Expenditure,Insurance,2044
2023,Expenditure,Accountancy fee,1244
2023,Expenditure,Assurance fee,2242
2023,Expenditure,Office expenses,1024
2023,Expenditure,Miscellaneous,324
2023,Expenditure,Bad debts written off/(back),-126
2023,Expenditure,Bank charges,303
2023,Expenditure,Public Christmas trees and decorations,164
2023,Expenditure,Play park,2745
2023,Summary,Total income,171946
2023,Summary,Total expenditure,171903
2023,Summary,Net operating expenditure (income less expenditure),43
2023,Summary,Revaluation write-down,0
2023,Summary,Net surplus/(deficit) for the year,43
2023,Rates,General rate - pence in the pound,122
2023,Rates,General rate - net rateable value,78831
2023,Rates,Refuse rate - pence in the pound,67
2023,Rates,Refuse rate - net rateable value,77696
2023,Rates,Refuse fixed charge per property (GBP),48
2023,Rates,Rated properties (refuse),509
2024,Income,Village Hall Hire,1995
2024,Income,Release of deferred grant,3212
2024,Income,Search Fees,575
2024,Income,Government grant - coronation event,1325
2024,Income,Income from general rate fund,92847
2024,Income,Income from general refuse rate fund,74159
2024,Expenditure,Northern Parishes Refuse Collection Board,79060
2024,Expenditure,Parish hall,5365
2024,Expenditure,Northern Civic Amenity Site,24900
2024,Expenditure,Clerk's salary,16585
2024,Expenditure,Depreciation,6285
2024,Expenditure,Grass cutting and gardening,3790
2024,Expenditure,Millennium park and sports field,2520
2024,Expenditure,Street lighting,7628
2024,Expenditure,Local highway services,11704
2024,Expenditure,Public conveniences,5081
2024,Expenditure,Dog bins and litter collection,2999
2024,Expenditure,Rate collection charges,2896
2024,Expenditure,NLA Swimming Pool Board - contribution,2623
2024,Expenditure,Insurance,2442
2024,Expenditure,Accountancy fee,2156
2024,Expenditure,Assurance fee,2200
2024,Expenditure,Coronation event,1547
2024,Expenditure,Office expenses,520
2024,Expenditure,Miscellaneous,1577
2024,Expenditure,Bad debts written off/(back),1489
2024,Expenditure,Bank charges,338
2024,Expenditure,Public Christmas trees and decorations,369
2024,Expenditure,Play park,2720
2024,Summary,Total income,174113
2024,Summary,Total expenditure,186794
2024,Summary,Net operating expenditure (income less expenditure),-12681
2024,Summary,Revaluation write-down,25740
2024,Summary,Net surplus/(deficit) for the year,-38421
2024,Rates,General rate - pence in the pound,125
2024,Rates,General rate - net rateable value,78831
2024,Rates,Refuse rate - pence in the pound,69
2024,Rates,Refuse rate - net rateable value,77696
2024,Rates,Refuse fixed charge per property (GBP),50
2024,Rates,Rated properties (refuse),509
