section,line,fy2025_gbp,fy2024_gbp,fy2023_gbp,fy2022_gbp
Fixed assets,Tangible fixed assets,135018,143733,139532,147632
Current assets,Debtors,14371,37912,15679,16955
Current assets,Cash at bank,40261,31328,26937,39873
Current assets,Subtotal,54632,69240,42616,56828
Current liabilities,Creditors,-14504,-44779,-9167,-6084
Net,Net current assets,40128,24461,33449,50744
Long-term,Pension liability,-2000,-2000,-2000,-2000
Net,Total assets less current liabilities,173146,166194,170981,196376
Reserves,General revenue account,51816,36764,33451,50746
Reserves,Revaluation reserve,107525,115625,123725,131825
Reserves,Pension reserve,-2000,-2000,-2000,-2000
Reserves,Capital adjustment account,15805,15805,15805,15805
Reserves,Total reserves,173146,166194,170981,196376
