section,line,2025,2024,2023
Fixed assets,Total fixed assets,383332000,371893000,310544000
Current assets,Total current assets,6124000,6204000,4785000
Current liabilities,Total current liabilities,-14480000,-12276000,-11040000
Net,Total assets less current liabilities,374976000,365954000,304289000
Long-term liabilities,Long-term borrowing,-84996000,-86946000,-88430000
Long-term liabilities,Net pension (liability)/asset - long-term,-95000,0,-1651000
Net,Total net worth,289885000,279008000,214206000
Reserves,General Fund,1585000,1740000,1287000
Reserves,Capital adjustment account,36782000,33904000,37013000
Reserves,Revaluation reserve,247289000,239441000,173742000
Reserves,Housing revenue reserves,102000,-69000,35000
Reserves,Pensions reserve,-114000,109000,-1671000
Reserves,Capital receipts reserve,422000,472000,476000
Reserves,Earmarked reserves,3819000,3411000,3324000
Reserves,TOTAL RESERVES,289885000,279008000,214206000
Memo,Total loans outstanding (all via IOM Government pooled Local Authority Borrowing Scheme - not itemised),90963000,92584000,92991000
Memo,Council housing dwellings net book value,320490000,,266312000
Memo,Total comprehensive (income)/expenditure (dominated by non-cash revaluation & pension remeasurement gains),-10877000,-64802000,-48231000
Memo,...of which fixed-asset revaluation gain,-16100000,-72700000,-26400000
Memo,Net pension position for 2024 disclosed as a GBP133000 net asset elsewhere on the balance sheet rather than as a long-term liability - shown as 0 on the line above,,,
