section,line,2025,2024,2023
Fixed assets,Tangible fixed assets,4710468,4762307,4662616
Current assets,Debtors,114005,123570,107772
Current assets,Pension asset,0,9000,0
Current assets,Cash at bank,323640,152048,247951
Current assets,SUBTOTAL,437645,284618,355723
Current liabilities,Creditors,-116925,-86585,-114546
Current liabilities,Bank loans (short-term),-46841,-45632,-42451
Current liabilities,Isle of Man Government Loan (short-term),-9128,-9128,-9128
Current liabilities,SUBTOTAL,-172894,-141345,-166125
Net current assets,Net current assets,264751,143273,189598
Total,Total assets less current liabilities,4975219,4905580,4852214
Long-term liabilities,Pension liabilities,0,0,-14000
Long-term liabilities,Bank loans (long-term),-805447,-799310,-735174
Long-term liabilities,Isle of Man Government Loan (long-term),-123519,-132846,-137410
Net assets,Net assets,4046253,3973424,3965630
Reserves,Capital adjustment account,1480501,1470755,1419781
Reserves,Capital receipts reserve,286,286,22504
Reserves,Revaluation reserve,2168454,2186595,2204737
Reserves,Pension reserve,0,9000,-14000
Reserves,General revenue reserve,370089,291306,328436
Reserves,Community areas reserve,22564,24719,18908
Reserves,Heating reserve,7314,3682,-2146
Reserves,Housing maintenance reserve,-2955,-12919,-12590
Reserves,TOTAL RESERVES,4046253,3973424,3965630
Memo,Total borrowing (bank loans + IOM Government Loan, all terms),984935,986916,924163
Memo,...of which Isle of Man Government Loan alone,132647,141974,146538
