year_ended,section,line,amount_gbp
2022,Income,Income from the General Rate Fund,148052
2022,Income,Income from the Refuse Rate Fund,122758
2022,Finance and general purposes,Clerks Fees,11397
2022,Finance and general purposes,Office expenses,3523
2022,Finance and general purposes,Election expenses,376
2022,Finance and general purposes,Insurance,1949
2022,Finance and general purposes,Legal fees,0
2022,Finance and general purposes,Audit and accountancy fees,4305
2022,Finance and general purposes,Rate collection costs,3332
2022,Finance and general purposes,Miscellaneous expenses,4226
2022,Finance and general purposes,Bank charges,236
2022,Finance and general purposes,German in Bloom,6070
2022,Finance and general purposes,Depreciation,789
2022,Finance and general purposes,Bank interest received,-474
2022,Finance and general purposes,Miscellaneous income,-1210
2022,Property,Public conveniences,5879
2022,Works and development,Street lighting,7870
2022,Works and development,Road maintenance,10393
2022,Leisure,Swimming pool contributions,4167
2022,Refuse disposal,Civic amenity site contribution,47357
2022,Refuse disposal,Waste disposal charges,103628
2022,Bad debts provision/Rates write off,Bad debts provision,16
2022,Summary,Total rate income,270810
2022,Summary,Net cost of General Fund services,213829
2022,Summary,Surplus for the year,56981
2023,Income,Income from the General Rate Fund,153703
2023,Income,Income from the Refuse Rate Fund,122371
2023,Finance and general purposes,Clerks Fees,11821
2023,Finance and general purposes,Office expenses,3692
2023,Finance and general purposes,Election expenses,0
2023,Finance and general purposes,Insurance,2041
2023,Finance and general purposes,Legal fees,1800
2023,Finance and general purposes,Audit and accountancy fees,4055
2023,Finance and general purposes,Rate collection costs,3932
2023,Finance and general purposes,Miscellaneous expenses,5234
2023,Finance and general purposes,Bank charges,249
2023,Finance and general purposes,German in Bloom,8325
2023,Finance and general purposes,Depreciation,789
2023,Finance and general purposes,Bank interest received,-4462
2023,Finance and general purposes,Miscellaneous income,-545
2023,Property,Public conveniences,6367
2023,Works and development,Street lighting,8727
2023,Works and development,Road maintenance,10450
2023,Leisure,Swimming pool contributions,4356
2023,Refuse disposal,Civic amenity site contribution,56721
2023,Refuse disposal,Waste disposal charges,102612
2023,Bad debts provision/Rates write off,Bad debts provision,1195
2023,Summary,Total rate income,276074
2023,Summary,Net cost of General Fund services,227359
2023,Summary,Surplus for the year,48715
2024,Income,Income from the General Rate Fund,146314
2024,Income,Income from the Refuse Rate Fund,123306
2024,Finance and general purposes,Clerks Fees,12614
2024,Finance and general purposes,Office expenses,5659
2024,Finance and general purposes,Election expenses,0
2024,Finance and general purposes,Insurance,2174
2024,Finance and general purposes,Legal fees,0
2024,Finance and general purposes,Audit and accountancy fees,4745
2024,Finance and general purposes,Rate collection costs,3851
2024,Finance and general purposes,Miscellaneous expenses,2210
2024,Finance and general purposes,Bank charges,244
2024,Finance and general purposes,German in Bloom,9370
2024,Finance and general purposes,Depreciation,790
2024,Finance and general purposes,Bank interest received,-10670
2024,Finance and general purposes,Miscellaneous income,-390
2024,Property,Public conveniences,6198
2024,Works and development,Street lighting,10017
2024,Works and development,Road maintenance,11487
2024,Leisure,Swimming pool contributions,4107
2024,Refuse disposal,Civic amenity site contribution,65188
2024,Refuse disposal,Waste disposal charges,113396
2024,Bad debts provision/Rates write off,Bad debts provision,1169
2024,Summary,Total rate income,269620
2024,Summary,Net cost of General Fund services,242159
2024,Summary,Surplus for the year,27461
