section,line,fy2023_gbp,fy2022_gbp
Fixed assets,Tangible fixed assets,720792,736112
Current assets,Debtors,25907,26364
Current assets,Cash at bank,72109,47381
Current assets,Subtotal,98016,73745
Current liabilities,Creditors,-23198,-8513
Net,Net current assets,74818,65232
Net,Total net assets,795610,801344
Reserves,Street Light Fund,8600,6300
Reserves,Hall Maintenance Fund,3000,2000
Reserves,General fund,61152,54866
Reserves,Capital adjustment account,391001,399163
Reserves,Revaluation reserve,329251,336409
Reserves,Usable capital receipts reserve,2606,2606
Reserves,Total reserves,795610,801344
