section,line,fy2024_gbp,fy2023_gbp
Fixed assets,Tangible fixed assets,16939,21243
Current assets,Debtors,75152,68779
Current assets,Cash at bank,94894,120273
Current assets,Subtotal,170046,189052
Current liabilities,Creditors falling due within one year,-27659,-30500
Net,Net current assets,142387,158552
Net,Total assets less current liabilities,159326,179795
Long-term,Pension liability,-1000,-2000
Net,Net assets,158326,177795
Reserves,Capital adjustment account,10436,14740
Reserves,General rate fund,148890,165055
Reserves,Pension reserve,-1000,-2000
Reserves,Total reserves,158326,177795
