section,line,fy2023_gbp,fy2022_gbp
Fixed assets,Tangible fixed assets,452373,351742
Current assets,Debtors,43596,48839
Current assets,Cash at bank,158136,154370
Current assets,Subtotal,201732,203209
Current liabilities,Creditors,-83931,-97738
Net,Net current assets,117801,105471
Net,Total assets less current liabilities,570174,457213
Long-term liabilities,Pension liability,-1000,-39000
Net,Net assets,569174,418213
Reserves,Revaluation reserve,190009,118548
Reserves,General revenue reserve,149844,137873
Reserves,Pensions reserve,-1000,-39000
Reserves,Capital adjustment account,230321,200792
Reserves,Total reserves,569174,418213
