year_ended,section,line,amount_gbp
2022,Income,General rate income,2450775
2022,Income,Profit on disposal of fixed assets,30000
2022,Finance & General Purposes,Employment costs,1003263
2022,Finance & General Purposes,Establishment costs,71440
2022,Finance & General Purposes,Operating costs,145794
2022,Finance & General Purposes,"Legal, professional and bank costs",91278
2022,Finance & General Purposes,Vehicle costs,1645
2022,Finance & General Purposes,Policy and general costs,33007
2022,Finance & General Purposes,Administrative recoveries (income),-127754
2022,Finance & General Purposes,"Building Regulation fees, Search fees, commissions & other income (income)",-105326
2022,"Highways, lighting & properties","Street lighting, seats and signs - establishment costs",41129
2022,"Highways, lighting & properties","Street lighting, seats and signs - operating costs",137096
2022,"Highways, lighting & properties",Miscellaneous land and properties - establishment costs,40399
2022,"Highways, lighting & properties",Commercial rents (income),-204293
2022,"Highways, lighting & properties",Garage rents (income),-113673
2022,Refuse collection,Employment costs,302417
2022,Refuse collection,Establishment costs,15891
2022,Refuse collection,Operating costs,485406
2022,Refuse collection,Vehicle costs,173217
2022,Refuse collection,Refuse collection income (income),-118597
2022,Leisure & Amenities,Library - employment costs,104611
2022,Leisure & Amenities,Library - establishment costs,21329
2022,Leisure & Amenities,Library - operating costs,22308
2022,Leisure & Amenities,Library income (income),-1413
2022,Leisure & Amenities,"Parks, glens & open spaces - employment costs",297508
2022,Leisure & Amenities,"Parks, glens & open spaces - establishment costs",174674
2022,Leisure & Amenities,"Parks, glens & open spaces - operating costs",109280
2022,Leisure & Amenities,"Parks, glens & open spaces - vehicle costs",8119
2022,Leisure & Amenities,Income from attractions and events (income),-80056
2022,Leisure & Amenities,Parks sundry income (income),-3701
2022,Leisure & Amenities,Onchan Hub - employment costs,11916
2022,Leisure & Amenities,Onchan Hub - establishment costs,43518
2022,Leisure & Amenities,Onchan Hub income (income),-40323
2022,Government Assisted,Sewers & Pumping Station - Government reimbursement (income),-42732
2022,Government Assisted,Road sweeping - employment costs,31125
2022,Government Assisted,Road sweeping - operating costs,37161
2022,Other (interest / pension cost),Interest payable and similar charges,615487
2022,Other (interest / pension cost),Pension interest cost,99000
2022,Headline totals,Net cost of General Fund services (published),-2565662
2022,Headline totals,Housing Revenue Account net result,684369
2022,Headline totals,(Deficit) on provision of services (published headline),-115005
