year_ended,section,line,amount_gbp
2022,Income,Rates,176628
2022,Income,Refuse collection,5283
2022,Income,Property search fees,2460
2022,Income,Miscellaneous income,30
2022,Income,Bank interest received,0
2022,Services,Refuse collection & disposal,72859
2022,Services,Western Civic Amenity Site Board - contribution,32123
2022,Services,Highway services,22391
2022,Services,Street lighting,6344
2022,Services,Depreciation,2693
2022,Services,Litter and dog bins,2670
2022,Services,Western Local Authorities Swimming Pool - contribution,2406
2022,Services,Doubtful debt provision,1636
2022,Services,Membership fees,300
2022,Services,Defibrillators,213
2022,Services,Members expenses,205
2022,Services,Rates written off,0
2022,Admin,Wages and salaries,8865
2022,Admin,Office expenses,3273
2022,Admin,Sundry expenses,240
2022,Admin,"Telephone, fax and IT costs",103
2022,Legal,Insurance,2692
2022,Legal,Treasury rate collection charge,2354
2022,Legal,Accountancy fees,1843
2022,Legal,Assurance review fees,1800
2022,Legal,Bank charges,281
2022,Summary,Total income,184401
2022,Summary,Net cost of services,165291
2022,Summary,Surplus for the year,19110
2022,RateFund,Rate in the pound (pence),190
2022,RateFund,Net rateable value (GBP),96726
2023,Income,Rates,176816
2023,Income,Refuse collection,2876
2023,Income,Property search fees,1500
2023,Income,Miscellaneous income,546
2023,Income,Bank interest received,1
2023,Services,Refuse collection & disposal,74776
2023,Services,Western Civic Amenity Site Board - contribution,38476
2023,Services,Highway services,56601
2023,Services,Street lighting,13425
2023,Services,Depreciation,1110
2023,Services,Litter and dog bins,2551
2023,Services,Western Local Authorities Swimming Pool - contribution,2418
2023,Services,Clock expenses,2238
2023,Services,Doubtful debt provision,519
2023,Services,Membership fees,300
2023,Services,Defibrillators,276
2023,Services,Members expenses,225
2023,Services,Planning,420
2023,Services,Rates written off,327
2023,Admin,Wages and salaries,9257
2023,Admin,Office expenses,3251
2023,Admin,Sundry expenses,111
2023,Admin,"Telephone, fax and IT costs",93
2023,Legal,Insurance,2939
2023,Legal,Treasury rate collection charge,2366
2023,Legal,Accountancy fees,1880
2023,Legal,Assurance review fees,2200
2023,Legal,Bank charges,345
2023,Summary,Total income,181739
2023,Summary,Net cost of services,216104
2023,Summary,Deficit for the year,-34365
2023,RateFund,Rate in the pound (pence),192
2023,RateFund,Net rateable value (GBP),96731
2024,Income,Rates,204253
2024,Income,Refuse collection,6749
2024,Income,Property search fees,2400
2024,Income,Miscellaneous income,210
2024,Income,Bank interest received,5
2024,Services,Refuse collection & disposal,75298
2024,Services,Western Civic Amenity Site Board - contribution,36858
2024,Services,Highway services,26941
2024,Services,Street lighting,10797
2024,Services,Election expenses,7336
2024,Services,Doubtful debt provision,2884
2024,Services,Western Local Authorities Swimming Pool - contribution,2423
2024,Services,Litter and dog bins,2227
2024,Services,Depreciation,785
2024,Services,Clock expenses,380
2024,Services,Defibrillators,353
2024,Services,Membership fees,300
2024,Services,Members expenses,0
2024,Services,Planning (credit),-420
2024,Services,Rates written off (credit),-58
2024,Admin,Wages and salaries,9622
2024,Admin,Office expenses,3188
2024,Admin,Sundry expenses,478
2024,Admin,"Telephone, fax and IT costs",137
2024,Legal,Insurance,3624
2024,Legal,Professional fees,3583
2024,Legal,Treasury rate collection charge,2635
2024,Legal,Assurance review fees,2310
2024,Legal,Accountancy fees,2210
2024,Legal,Bank charges,304
2024,Summary,Total income,213617
2024,Summary,Net cost of services,194195
2024,Summary,Surplus for the year,19422
2024,RateFund,Rate in the pound (pence),221
2024,RateFund,Net rateable value (GBP),96899
