section,line,fy2024_gbp,fy2023_gbp,fy2022_gbp
Fixed assets,Tangible fixed assets,58944809,58892836,44633102
Current assets,Debtors,665186,390194,535584
Current assets,Cash at bank and short term investments,1340240,1254944,1114315
Current assets,Subtotal,2005426,1645138,1649899
Current liabilities,Short-term borrowing,-965108,-1071901,-1052101
Current liabilities,Creditors,-567572,-359969,-582700
Current liabilities,Subtotal,-1532680,-1431870,-1634801
Net,Net current assets,472746,213268,15098
Net,Total assets less current liabilities,59417555,59106104,44648200
Long-term,Liability relating to defined benefit pension scheme,-30000,-159000,-1889000
Long-term,Long-term borrowing,-9841145,-10806253,-11878155
Net,Total assets less liabilities (net assets),49546410,48140851,30881045
Reserves,Revaluation reserve,33754272,33754271,19387905
Reserves,Accumulated surpluses (general revenue + housing maintenance + earmarked reserves),1340348,1387666,1169695
Reserves,Pensions reserve,-30000,-159000,-1889000
Reserves,Capital adjustment account,14236878,13113002,12167533
Reserves,Usable capital receipts,44912,44912,44912
Reserves,Total reserves,49546410,48140851,30881045
