year_ended,section,line,amount_gbp
2022,Income,General rate income,1019266
2022,Income,Refuse rate income,507776
2022,Income,Interest and investment income,4
2022,Income,Profit on sale of asset,542
2022,Income,Write back of liability,87170
2022,Income,Dwelling rents (including rates),2167352
2022,Income,Housing Deficiency Grant (Central Government),136350
2022,Sanitation,Refuse collection wages,0
2022,Sanitation,Refuse disposal,260876
2022,Sanitation,Refuse contract,173233
2022,Sanitation,Wheelie bin purchase,20999
2022,Sanitation,Western Civic Amenity Site charges,120908
2022,Sanitation,Street cleaning,27697
2022,Sanitation,Commercial refuse income (credit),-55229
2022,Works,Works (employee costs),10063
2022,Works,Commercial properties (employee costs),26016
2022,Works,General properties (employee costs),46735
2022,Works,Admin - Foreman (employee costs),266
2022,Works,Attendants (employee costs),31507
2022,Works,Street lighting costs,71534
2022,Works,Commercial property costs,5104
2022,Works,Mill Road yard costs,7239
2022,Works,"Seats, bins, flags, signs, clocks etc",3114
2022,Works,"Shelters, CCTV, road repairs",1697
2022,Works,Repairs to toilets,20952
2022,Works,Clothing,2770
2022,Works,Replacement equipment,576
2022,Works,"Vehicle running costs (tax, fuel, repairs)",19732
2022,Works,Drainage recharge costs,11
2022,Works,Westlands recharge costs,18959
2022,Works,Housing pilot scheme recharge costs,981
2022,Works,Other recharge costs,3733
2022,Works,Westlands recharge income (credit),-21489
2022,Works,Grass cutting recharge income (credit),-1000
2022,Works,Housing pilot scheme recharge income (credit),-10417
2022,Works,Commercial rents (credit),-51189
2022,Works,Garage rents (credit),-50696
2022,Works,Car park fees (credit),-5654
2022,Parks,Grass cutting (employee costs),64134
2022,Parks,Gardening (employee costs),4939
2022,Parks,Cleaning (employee costs),13167
2022,Parks,Playground costs,1968
2022,Parks,Amenity areas,21878
2022,Parks,Skateboard/BMX costs,3097
2022,Parks,Beach costs,5839
2022,Parks,Bowls and tennis costs,3157
2022,Parks,Peel Hill rents (credit),-5757
2022,Parks,Shell tipping fees (credit),-3000
2022,Civic,Public functions (employee costs),13725
2022,Civic,Ward library (employee costs),14805
2022,Civic,Leece Museum (employee costs),2539
2022,Civic,Ward library running costs,13372
2022,Civic,Leece Museum running costs,12517
2022,Civic,Campsite costs,21183
2022,Civic,Phillip Christian Centre costs,785
2022,Civic,Western Swimming Pool Joint Board contribution,10382
2022,Civic,Public function fireworks,6655
2022,Civic,Peel Day,8615
2022,Civic,Carnival Day,5057
2022,Civic,Christmas costs,18197
2022,Civic,Other public function costs,21082
2022,Civic,Campsite fees (credit),-97053
2022,Civic,Leece Museum income (credit),-456
2022,Civic,Public function income (credit),-104
2022,Admin,Office salaries (employee costs),233617
2022,Admin,"Unallocated re covid, illness etc (employee costs)",58037
2022,Admin,Rates payable,-1119
2022,Admin,Website costs,7930
2022,Admin,"Printing, stationery, photocopier etc",1646
2022,Admin,Postage,2132
2022,Admin,Election expenses,6634
2022,Admin,Commissioners' attendance allowances,1250
2022,Admin,Town Hall maintenance,253
2022,Admin,Computer costs,25977
2022,Admin,Telephone,5893
2022,Admin,Staff training,1785
2022,Admin,Miscellaneous,4944
2022,Admin,Registrars costs,47
2022,Admin,Rate collection costs,16239
2022,Admin,Rates provision for bad debts,-36803
2022,Admin,Other bad debt provisions,6276
2022,Admin,Admin allowance (credit),-98087
2022,Admin,Search fees (credit),-14777
2022,Admin,Hire of Boardroom (credit),-300
