section,line,fy2024_gbp,fy2023_gbp,fy2022_gbp
Fixed assets,Tangible fixed assets,21672183,16973832,17212328
Current assets,Debtors,118529,113546,184002
Current assets,Cash at bank,180577,352470,462996
Current assets,Subtotal,299106,466016,646998
Current liabilities,Short-term borrowing,-271858,-281795,-304455
Current liabilities,Creditors,-230453,-244917,-290199
Net,Net current assets,-203205,-60696,52344
Net,Total assets less current liabilities,21468978,16913136,17264672
Long-term,Long-term borrowing,-4217272,-4474173,-4732297
Long-term,Net pension liabilities,-25000,-91000,-952000
Net,Total assets less liabilities (net assets),17226706,12347963,11580375
Reserves,General revenue reserve,2160,139020,251528
Reserves,Housing maintenance reserve,-58030,-54988,-29807
Reserves,Capital adjustment account,4123925,3996651,3820065
Reserves,Revaluation reserve,13178240,8352869,8485178
Reserves,Pension reserve,-25000,-91000,-952000
Reserves,Capital receipts reserve,5411,5411,5411
Reserves,Total reserves,17226706,12347963,11580375
