year_ended,section,line,amount_gbp
2022,Income,Income from the General Rate Fund,478156
2022,Income,Interest receivable and other income,58
2022,Income,Profit on disposal of fixed assets,25892
2022,Housing,Housing services — net surplus (rents less running costs),150466
2022,Housing,Housing deficiency funding — from central government,11371
2022,Admin,Administration and general purposes,188585
2022,Admin,Direct labour — central costs,60793
2022,Admin,Net current service cost of pensions,56000
2022,Admin,Bad debt,5084
2022,Admin,Recharges (net) — SSHJB reimbursement,0
2022,Works,Property,53325
2022,Works,Public works — street lighting,34612
2022,Works,Street cleaning and car parks,37458
2022,Works,Public conveniences,6432
2022,Parks,Parks and leisure,-11906
2022,Parks,Maintenance of public areas,42252
2022,Parks,Public amenities,23216
2022,Parks,Guides and general advertising,2978
2022,Refuse,Refuse collection,121481
2022,Debt,Interest payable and similar charges,129824
2022,Debt,Net pension interest cost,20000
2022,Summary,Net cost of General Fund services,594418
2022,Summary,Net cost of services,432581
2022,Summary,Deficit for the year,104191
2022,Summary,Rate poundage (pence),349
2022,Summary,Net rateable value,144825
2023,Income,Income from the General Rate Fund,487106
2023,Income,Interest receivable and other income,3218
2023,Income,Profit on disposal of fixed assets,1990
2023,Housing,Housing services — net surplus (rents less running costs),131451
2023,Housing,Housing deficiency funding — from central government,43592
2023,Admin,Administration and general purposes,175150
2023,Admin,Direct labour — central costs,72815
2023,Admin,Net current service cost of pensions,69000
2023,Admin,Bad debt,979
2023,Admin,Recharges (net) — SSHJB reimbursement,0
2023,Works,Property,47281
2023,Works,Public works — street lighting,33385
2023,Works,Street cleaning and car parks,39079
2023,Works,Public conveniences,6375
2023,Parks,Parks and leisure,-12999
2023,Parks,Maintenance of public areas,38658
2023,Parks,Public amenities,34233
2023,Parks,Guides and general advertising,3174
2023,Refuse,Refuse collection,132461
2023,Debt,Interest payable and similar charges,190178
2023,Debt,Net pension interest cost,24000
2023,Summary,Net cost of General Fund services,637601
2023,Summary,Net cost of services,462558
2023,Summary,Deficit for the year,186412
2023,Summary,Rate poundage (pence),354
2023,Summary,Net rateable value,145007
2024,Income,Income from the General Rate Fund,532169
2024,Income,Interest receivable and other income,8261
2024,Income,Profit on disposal of fixed assets,4455
2024,Housing,Housing services — net surplus (rents less running costs),157673
2024,Housing,Housing deficiency funding — from central government,93447
2024,Admin,Administration and general purposes,192255
2024,Admin,Direct labour — central costs,110975
2024,Admin,Net current service cost of pensions,-22000
2024,Admin,Bad debt,9288
2024,Admin,Recharges (net) — SSHJB reimbursement,-7255
2024,Works,Property,62959
2024,Works,Public works — street lighting,41266
2024,Works,Street cleaning and car parks,36294
2024,Works,Public conveniences,6762
2024,Parks,Parks and leisure,19424
2024,Parks,Maintenance of public areas,31932
2024,Parks,Public amenities,34543
2024,Parks,Guides and general advertising,2653
2024,Refuse,Refuse collection,141559
2024,Debt,Interest payable and similar charges,258286
2024,Debt,Net pension interest cost,2000
2024,Summary,Net cost of General Fund services,656200
2024,Summary,Net cost of services,405080
2024,Summary,Deficit for the year,124936
2024,Summary,Rate poundage (pence),386
2024,Summary,Net rateable value,145066
