section,line,fy2023_gbp,fy2022_gbp
Fixed assets,Dwellings,80380674,49766676
Fixed assets,Other land & buildings,10900253,7954687
Fixed assets,"Vehicles, plant, furniture & equipment",755342,459192
Fixed assets,Infrastructure assets,75199,56471
Fixed assets,Community assets,22926,27511
Fixed assets,Operational assets subtotal,92134394,58264537
Fixed assets,Assets under construction,1941091,564417
Fixed assets,Investment properties,2590250,2105250
Fixed assets,Non-operational assets subtotal,4531341,2669667
Fixed assets,Intangible assets,0,882
Fixed assets,Long term debtors (Manx Utilities Authority loan),926127,978038
Fixed assets,Total fixed assets & long-term debtors,97591862,61913124
Current assets,Debtors & prepayments,840078,952859
Current assets,Cash at bank,1744951,745647
Current assets,Subtotal,2585029,1698506
Current liabilities,Other creditors & accruals,-817808,-463580
Current liabilities,Short-term borrowing,-1877508,-1750655
Current liabilities,Finance agreement liability,-2890,-3480
Current liabilities,Subtotal,-2698206,-2217715
Net,Net current assets/(liabilities),-113177,-519209
Net,Total assets less current liabilities,97478685,61393915
Long-term liabilities,Other creditors,-281200,-296000
Long-term liabilities,Long-term borrowing,-28435780,-28459257
Long-term liabilities,Finance agreement liability,0,-3294
Long-term liabilities,Pension liability,-504000,-4746000
Long-term liabilities,Subtotal,-29220980,-33504551
Net,Total assets less liabilities (net assets),68257705,27889364
Reserves,Revaluation Reserve,48592558,13635772
Reserves,Capital Adjustment Account,18889814,17812270
Reserves,Usable Capital Receipts Reserve,70470,70007
Reserves,Pension Reserve,-504000,-4746000
Reserves,Heating Reserve,19581,37126
Reserves,General Fund,992226,899515
Reserves,Housing Repairs Account,-23117,43445
Reserves,Northern Civic Amenity Reserve,220173,137229
Reserves,Total reserves,68257705,27889364
