year_ended,section,line,amount_gbp
2022,Income,Income from general rate fund,91948
2022,Income,Search fees,1045
2022,Income,Interest income,315
2022,Expenditure,Refuse disposal,26340
2022,Expenditure,Refuse collection,12569
2022,Expenditure,Amenity payments,11212
2022,Expenditure,Clerk's salary,8939
2022,Expenditure,Parish maintenance expenses,8068
2022,Expenditure,Street lighting,3757
2022,Expenditure,Depreciation,3285
2022,Expenditure,Election,2373
2022,Expenditure,Insurance,2216
2022,Expenditure,Audit and accountancy fee,1950
2022,Expenditure,Southern Local Authority Pool Board,1844
2022,Expenditure,Office expenses,1733
2022,Expenditure,Rate collection charges,1319
2022,Expenditure,Playground costs,1154
2022,Expenditure,Miscellaneous,690
2022,Expenditure,Provision against irrecoverable rates,489
2022,Expenditure,Website & domain name,305
2022,Expenditure,Bank charges,141
2022,Summary,Total income,93308
2022,Summary,Total expenditure,88384
2022,Summary,Net surplus for the year,4924
2022,Summary,Rate in the pound (pence),
2023,Income,Income from general rate fund,100739
2023,Income,Search fees,770
2023,Income,Interest income,721
2023,Expenditure,Refuse disposal,23872
2023,Expenditure,Refuse collection,19234
2023,Expenditure,Parish maintenance expenses,13835
2023,Expenditure,Amenity payments,12918
2023,Expenditure,Clerk's salary,9361
2023,Expenditure,Depreciation,3285
2023,Expenditure,Street lighting,2995
2023,Expenditure,Audit and accountancy fee,2050
2023,Expenditure,Insurance,1861
2023,Expenditure,Southern Local Authority Pool Board,1862
2023,Expenditure,Rate collection charges,1587
2023,Expenditure,Office expenses,1290
2023,Expenditure,Playground costs,681
2023,Expenditure,Miscellaneous,328
2023,Expenditure,Website & domain name,220
2023,Expenditure,Bank charges,162
2023,Expenditure,Election,0
2023,Expenditure,Provision against irrecoverable rates,-9
2023,Summary,Total income,102230
2023,Summary,Total expenditure,95532
2023,Summary,Net surplus for the year,6698
2023,Summary,Rate in the pound (pence),141
2024,Income,Income from general rate fund,110912
2024,Income,Search fees,975
2024,Income,Interest income,1159
2024,Expenditure,Refuse disposal,26397
2024,Expenditure,Refuse collection,19234
2024,Expenditure,Parish maintenance expenses,14500
2024,Expenditure,Amenity payments,13712
2024,Expenditure,Clerk's salary,9972
2024,Expenditure,Street lighting,6240
2024,Expenditure,Depreciation,5685
2024,Expenditure,Provision against irrecoverable rates,2953
2024,Expenditure,Office expenses,2523
2024,Expenditure,Audit and accountancy fee,2150
2024,Expenditure,Southern Local Authority Pool Board,1864
2024,Expenditure,Insurance,1805
2024,Expenditure,Rate collection charges,1678
2024,Expenditure,Playground costs,408
2024,Expenditure,Website & domain name,165
2024,Expenditure,Bank charges,160
2024,Expenditure,Miscellaneous,109
2024,Expenditure,Election,0
2024,Summary,Total income,113046
2024,Summary,Total expenditure,109555
2024,Summary,Net surplus for the year,3491
2024,Summary,Rate in the pound (pence),155
