Serving HTTP on 0.0.0.0 port 8995 (http://0.0.0.0:8995/) ...
127.0.0.1 - - [06/Aug/2026 20:56:38] "GET /ramsey-budget-sankey.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:38] "GET /lib/observatory.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:38] "GET /lib/d3.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:38] "GET /lib/d3-sankey.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:39] "GET /peel-budget-sankey.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:39] "GET /lib/observatory.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:39] "GET /lib/d3.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:39] "GET /lib/d3-sankey.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:42] "GET /onchan-budget-sankey.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:42] "GET /lib/observatory.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:42] "GET /lib/d3-sankey.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:42] "GET /lib/d3.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:44] "GET /michael-budget-sankey.html HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:44] "GET /lib/observatory.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:44] "GET /lib/d3.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 20:56:44] "GET /lib/d3-sankey.min.js HTTP/1.1" 200 -
