island,year,source_table,area,area_type,area_pop_total,sex,age_band,count,data_type,notes
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,0-4,1152,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,5-9,1342,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,10-14,1519,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,15-19,1481,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,20-24,1596,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,25-29,1735,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,30-34,1880,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,35-39,1823,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,40-44,1864,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,45-49,1994,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,50-54,2132,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,55-59,1993,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,60-64,1629,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,65-69,1265,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,70-74,1216,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,75-79,818,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,80-84,617,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,All,85+,621,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Douglas,Town,26677,Male,0-4,568,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Douglas,Town,26677,Male,5-9,696,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Douglas,Town,26677,Male,10-14,754,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Douglas,Town,26677,Male,15-19,770,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Douglas,Town,26677,Male,20-24,843,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Douglas,Town,26677,Male,25-29,885,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Douglas,Town,26677,Male,30-34,964,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Douglas,Town,26677,Male,35-39,893,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Douglas,Town,26677,Male,40-44,943,published_exact,Part I Table 2.2
