island,year,source_table,area,age_band,limitation_level,count,pct_of_age_group,data_type,notes
IOM,2021,Table2.14,ISLAND_TOTAL,0-4,somewhat_limited,37,1.1%,published_exact,Part I Table 2.14 - NO AREA BREAKDOWN PUBLISHED
IOM,2021,Table2.14,ISLAND_TOTAL,0-4,severely_limited,20,0.6%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,0-4,any_limitation,57,1.6%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,5-9,somewhat_limited,116,2.7%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,5-9,severely_limited,38,0.9%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,5-9,any_limitation,154,3.6%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,10-14,somewhat_limited,179,3.7%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,10-14,severely_limited,53,1.1%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,10-14,any_limitation,232,4.8%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,15-19,somewhat_limited,230,5.2%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,15-19,severely_limited,62,1.4%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,15-19,any_limitation,292,6.6%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,20-24,somewhat_limited,241,5.6%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,20-24,severely_limited,62,1.4%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,20-24,any_limitation,303,7.0%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,25-29,somewhat_limited,246,5.6%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,25-29,severely_limited,66,1.5%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,25-29,any_limitation,312,7.1%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,30-34,somewhat_limited,279,5.9%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,30-34,severely_limited,62,1.3%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,30-34,any_limitation,341,7.2%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,35-39,somewhat_limited,283,5.7%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,35-39,severely_limited,68,1.4%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,35-39,any_limitation,351,7.1%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,40-44,somewhat_limited,272,5.2%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,40-44,severely_limited,93,1.8%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,40-44,any_limitation,365,7.0%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,45-49,somewhat_limited,396,6.8%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,45-49,severely_limited,96,1.7%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,45-49,any_limitation,492,8.5%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,50-54,somewhat_limited,550,8.3%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,50-54,severely_limited,176,2.6%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,50-54,any_limitation,726,10.9%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,55-59,somewhat_limited,634,9.4%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,55-59,severely_limited,174,2.6%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,55-59,any_limitation,808,12.0%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,60-64,somewhat_limited,700,12.1%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,60-64,severely_limited,204,3.5%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,60-64,any_limitation,904,15.7%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,65-69,somewhat_limited,705,14.4%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,65-69,severely_limited,170,3.5%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,65-69,any_limitation,875,17.9%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,70-74,somewhat_limited,802,15.6%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,70-74,severely_limited,233,4.5%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,70-74,any_limitation,1035,20.1%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,75-79,somewhat_limited,751,20.5%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,75-79,severely_limited,244,6.6%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,75-79,any_limitation,995,27.1%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,80-84,somewhat_limited,580,23.3%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,80-84,severely_limited,264,10.6%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,80-84,any_limitation,844,33.9%,published_exact,Part I Table 2.14
