island,year,source_table,area,area_type,area_pop_total,total_households,hh_1person,hh_2person,hh_3person,hh_4person,hh_5person,hh_6plus,avg_household_size_2021,avg_household_size_2016,data_type,notes
IOM,2021,Table3.2,Douglas,Town,26677,11806,4255,3806,1746,1435,422,142,2.19,2.28,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Ramsey,Town,8288,3875,1486,1367,480,372,136,34,2.08,2.12,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Peel,Town,5710,2503,781,903,390,320,78,31,2.25,2.29,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Castletown,Town,3206,1493,553,525,172,173,53,17,2.13,2.18,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Port Erin,Village,3730,1741,586,678,222,178,59,18,2.14,2.13,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Port St Mary,Village,1989,930,347,346,113,88,30,6,2.06,2.14,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Laxey,Village,1656,729,206,288,117,86,25,7,2.26,2.31,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Onchan,Village,9039,4054,1264,1517,576,516,146,35,2.23,2.29,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Andreas,Parish,1400,607,157,260,82,74,26,8,2.31,2.35,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Arbory,Parish,1899,850,237,341,135,117,13,7,2.23,2.29,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Ballaugh,Parish,1041,453,114,197,69,47,18,8,2.30,2.33,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Braddan,Parish,3404,1358,372,470,209,212,73,22,2.42,2.52,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Bride,Parish,359,174,56,74,24,18,1,1,2.06,2.11,published_exact,Part II Table 3.1 and 3.2 - NOTE: 56 single-person HH in pop 359
IOM,2021,Table3.2,German,Parish,1056,445,127,160,68,57,24,9,2.37,2.31,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Jurby,Parish,780,278,75,103,35,34,20,11,2.49,2.53,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Lezayre,Parish,1230,520,131,219,76,64,20,10,2.35,2.46,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Lonan,Parish,1647,674,156,265,106,104,33,10,2.44,2.45,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Malew,Parish,2367,1068,348,399,150,115,39,17,2.21,2.19,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Marown,Parish,2220,905,205,343,158,151,39,9,2.45,2.59,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Maughold,Parish,952,402,88,175,64,57,16,2,2.37,2.41,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Michael,Parish,1522,674,171,304,89,79,27,4,2.26,2.41,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Patrick,Parish,1487,631,165,249,104,73,27,13,2.36,2.56,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Rushen,Parish,1661,737,200,311,110,84,25,7,2.25,2.27,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,Santon,Parish,749,313,78,125,47,44,12,7,2.39,2.32,published_exact,Part II Table 3.1 and 3.2
IOM,2021,Table3.2,ISLAND_TOTAL,Island,84069,37220,12158,13425,5342,4498,1362,435,2.22,2.28,published_exact,Part II Table 3.1 and 3.2
